Marque;Modèle;Boite vitesse;Puissance fiscale;Transmission;Kilométrage;Mise en circulation;Carrosserie;price;cylindre;Énergie
Fiat;Fiorino;Manuelle;5                        cv;Traction;299 000                        km;02.2017;Utilitaire;22 000        DT;1300;Diesel
Mercedes-Benz;Classe C;Automatique;8                        cv;Traction;140 000                        km;10.2014;Berline;117 000        DT;1800;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;100 000                        km;12.2021;Citadine;45 000        DT;1000;Essence
Peugeot;207;Manuelle;6                        cv;Traction;211 000                        km;10.2008;Berline;26 000        DT;1400;Essence
Hyundai;i20;Manuelle;5                        cv;Traction;111 000                        km;07.2019;Citadine;42 000        DT;1197;Essence
Fiat;500;Manuelle;4                        cv;Traction;145 000                        km;01.2013;Citadine;28 500        DT;1200;Essence
Volkswagen;Amarok;Manuelle;7                        cv;Traction;210 000                        km;01.2016;Pick up;85 000        DT;2000;Diesel
Volkswagen;Golf 7;Manuelle;6                        cv;Traction;79 000                        km;10.2018;Compacte;75 000        DT;899;Essence
Nissan;Qashqai+2;Manuelle;6                        cv;Traction;214 000                        km;05.2012;Autres;42 800        DT;1491;Diesel
BMW;Série 5;Automatique;9                        cv;Propulsion;62 000                        km;05.2017;Berline;153 000        DT;1600;Essence
Jaguar;XF;Automatique;16                        cv;Propulsion;38 800                        km;12.2017;Berline;175 000        DT;1997;Essence
Ssangyong;Tivoli;Automatique;7                        cv;Traction;38 000                        km;11.2015;SUV/4x4;59 000        DT;1600;Essence
Mercedes-Benz;GLA;Automatique;9                        cv;Traction;81 000                        km;09.2021;SUV/4x4;195 000        DT;1332;Essence
MG;ZS;Manuelle;7                        cv;Traction;43 000                        km;11.2019;SUV/4x4;62 000        DT;1498;Essence
Audi;A4;Manuelle;7                        cv;Traction;330 000                        km;07.2013;Berline;40 000        DT;1890;Essence
Ford;Focus;Automatique;7                        cv;Traction;97 500                        km;09.2017;Autres;50 000        DT;999;Essence
Abarth;500;Automatique;8                        cv;Traction;138 000                        km;08.2010;Cabriolet;49 500        DT;1368;Essence
Volkswagen;Golf 7;Manuelle;6                        cv;Traction;89 000                        km;08.2020;Compacte;75 500        DT;1000;Essence
Dacia;Dokker Van;Manuelle;6                        cv;Traction;159 000                        km;05.2018;Utilitaire;29 000        DT;1461;Diesel
Skoda;Kamiq;Automatique;6                        cv;Traction;27 000                        km;12.2022;SUV/4x4;82 000        DT;999;Essence
BMW;Série 4 Gran Coupé;Automatique;7                        cv;Traction;73 000                        km;05.2019;Berline;133 000        DT;1500;Essence
Tesla;Model 3;Automatique;6                        cv;Propulsion;35 000                        km;03.2022;Berline;169 000        DT;899;Electrique
Toyota;BZ4X;Automatique;9                        cv;Traction;1 000                        km;03.2024;SUV/4x4;190 000        DT;899;Electrique
Chery;QQ;Manuelle;4                        cv;Traction;24 000                        km;01.2022;Autres;25 000        DT;998;Essence
Suzuki;Swift;Automatique;5                        cv;Traction;21 000                        km;01.2022;Citadine;53 500        DT;1197;Essence
BMW;Série 3;Manuelle;7                        cv;Traction;115 000                        km;09.2015;Berline;70 500        DT;1600;Essence
Renault;Kadjar;Automatique;7                        cv;Traction;80 000                        km;12.2017;SUV/4x4;68 000        DT;1200;Essence
Opel;Astra GTC;Manuelle;5                        cv;Traction;300 000                        km;11.2010;Coupé;22 000        DT;1364;Essence
MG;ZS;Manuelle;7                        cv;Traction;96 000                        km;09.2019;SUV/4x4;59 000        DT;1498;Essence
Peugeot;Partner;Manuelle;5                        cv;Traction;112 000                        km;10.2019;Utilitaire;45 000        DT;1600;Diesel
Fiat;Doblo Combi;Manuelle;6                        cv;Traction;124 000                        km;10.2019;Utilitaire;50 000        DT;1400;Essence
BMW;X1;Automatique;7                        cv;Traction;120 000                        km;05.2017;SUV/4x4;84 000        DT;1800;Essence
BMW;X6;Automatique;15                        cv;Intégrale;278 000                        km;10.2010;SUV/4x4;110 000        DT;2997;Diesel
KIA;Cerato;Manuelle;7                        cv;Traction;168 000                        km;08.2014;Berline;38 000        DT;1591;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Traction;270 000                        km;07.2012;Compacte;64 000        DT;899;Essence
Peugeot;208;Manuelle;4                        cv;Traction;64 000                        km;06.2020;Citadine;35 000        DT;1199;Essence
KIA;Picanto;Manuelle;5                        cv;Traction;41 000                        km;06.2022;Citadine;45 000        DT;1197;Essence
Audi;A4;Manuelle;8                        cv;Traction;132 000                        km;08.2017;Berline;65 000        DT;1398;Essence
KIA;Sportage;Manuelle;6                        cv;Traction;70 000                        km;09.2018;SUV/4x4;95 000        DT;1700;Diesel
Seat;Leon;Manuelle;6                        cv;Traction;134 000                        km;11.2015;Utilitaire;44 500        DT;1200;Essence
Volkswagen;Golf 6;Manuelle;5                        cv;Intégrale;154 000                        km;09.2011;Compacte;45 000        DT;1400;Essence
Toyota;Yaris Sedan;Manuelle;6                        cv;Traction;163 000                        km;05.2018;Berline;40 000        DT;899;Essence
Mercedes-Benz;Classe E;Automatique;10                        cv;Intégrale;260 000                        km;11.2013;Berline;69 000        DT;1991;Essence
Mercedes-Benz;Classe C coupé;Automatique;12                        cv;Propulsion;49 000                        km;11.2017;Coupé;187 000        DT;1991;Essence
MG;ZS;Manuelle;7                        cv;Traction;95 000                        km;06.2019;SUV/4x4;55 000        DT;1500;Essence
Mercedes-Benz;Classe C;Automatique;8                        cv;Traction;110 000                        km;05.2015;Berline;94 000        DT;1883;Essence
Chery;Tiggo 3;Manuelle;8                        cv;Traction;100 000                        km;03.2019;SUV/4x4;44 000        DT;1600;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;106 000                        km;12.2021;Citadine;43 000        DT;999;Essence
Volkswagen;Polo Sedan;Manuelle;5                        cv;Traction;200                        km;01.2022;Berline;42 000        DT;1400;Essence
Suzuki;Celerio;Manuelle;4                        cv;Traction;42 000                        km;01.2022;Compacte;33 500        DT;1000;Essence
BMW;Série 5;Automatique;12                        cv;Traction;170 000                        km;07.2015;Berline;98 000        DT;1900;Diesel
Seat;Leon SC;Manuelle;6                        cv;Traction;130 000                        km;05.2017;Compacte;47 000        DT;1200;Essence
Peugeot;208;Manuelle;5                        cv;Traction;48 000                        km;09.2021;Citadine;75 680        DT;999;Essence
BMW;Série 3;Automatique;7                        cv;Propulsion;211 000                        km;09.2015;Berline;64 000        DT;1598;Essence
Audi;A4;Manuelle;6                        cv;Traction;210 000                        km;05.2009;Autres;29 500        DT;899;Essence
Mercedes-Benz;Classe E;Automatique;9                        cv;Traction;46 000                        km;11.2020;Berline;228 000        DT;1599;Diesel
KIA;Sportage;Automatique;8                        cv;Traction;23 000                        km;03.2020;SUV/4x4;110 000        DT;1557;Essence
Hyundai;i20;Manuelle;5                        cv;Traction;86 600                        km;12.2016;Citadine;39 800        DT;1200;Essence
Audi;Q3;Automatique;8                        cv;Traction;111 000                        km;04.2017;SUV/4x4;87 000        DT;899;Essence
Mercedes-Benz;Classe C;Automatique;8                        cv;Propulsion;157 000                        km;05.2014;Berline;107 000        DT;1800;Essence
KIA;Sportage;Automatique;11                        cv;Intégrale;185 000                        km;11.2011;SUV/4x4;58 000        DT;1998;Essence
Renault;Clio;Manuelle;4                        cv;Traction;50 000                        km;09.2017;Citadine;42 000        DT;1149.0                                                    ;Essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;48 257                        km;07.2019;Citadine;89 000        DT;900;Essence
Volkswagen;Golf 7;Manuelle;6                        cv;Traction;31 915                        km;10.2019;Citadine;88 000        DT;999;Essence
Volkswagen;Golf 8;Automatique;6                        cv;Traction;65 786                        km;04.2021;Citadine;148 000        DT;1395;Essence
Mini;Cooper S;Automatique;7                        cv;Traction;32 529                        km;07.2020;Coupé;105 000        DT;1499;Essence
Dacia;Sandero;Automatique;6                        cv;Propulsion;36 746                        km;10.2019;Autres;56 000        DT;1198;Essence
Hyundai;i20;Automatique;5                        cv;Traction;63 386                        km;07.2022;Compacte;70 000        DT;998;Essence
Peugeot;3008;Automatique;9                        cv;Intégrale;75 822                        km;02.2022;SUV/4x4;120 000        DT;1598;Essence
Peugeot;508;Manuelle;7                        cv;Intégrale;97 059                        km;03.2019;SUV/4x4;98 000        DT;1499;Diesel
Mercedes-Benz;Classe E;Automatique;11                        cv;Traction;253 557                        km;03.2012;Berline;67 000        DT;1796;Essence
Volkswagen;Golf 8;Manuelle;6                        cv;Propulsion;53 080                        km;08.2021;Citadine;112 000        DT;999;Essence
KIA;Rio 5p;Manuelle;5                        cv;Propulsion;46 735                        km;06.2019;Citadine;68 000        DT;1248;Essence
Volkswagen;Golf 7;Manuelle;6                        cv;Propulsion;72 044                        km;11.2019;Citadine;79 000        DT;999;Essence
Volkswagen;Golf 7;Manuelle;6                        cv;Traction;111 147                        km;05.2019;Compacte;75 000        DT;999;Essence
BMW;Série 4 Coupé;Automatique;10                        cv;Propulsion;158 000                        km;01.2015;Berline;109 000        DT;1000;Essence
Volkswagen;Polo;Manuelle;4                        cv;Propulsion;33 062                        km;03.2021;Citadine;63 000        DT;999;Essence
Mercedes-Benz;Classe A;Manuelle;7                        cv;Traction;217 000                        km;02.2014;Berline;52 000        DT;1796;Diesel
Peugeot;Boxer;Manuelle;7                        cv;Traction;200 000                        km;12.2009;Monospace;25 000        DT;2198;Diesel
Volkswagen;Polo;Manuelle;4                        cv;Traction;405 000                        km;10.2015;Citadine;32 500        DT;999;Essence
Citroën;C4;Manuelle;6                        cv;Traction;217 000                        km;06.2009;Coupé;23 000        DT;1400;Essence
Audi;Q2;Automatique;6                        cv;Traction;79 000                        km;01.2018;SUV/4x4;85 000        DT;1000;Essence
Lada;Niva;Manuelle;7                        cv;Intégrale;8 000                        km;06.2021;SUV/4x4;44 000        DT;1700;Essence
Renault;Captur;Manuelle;5                        cv;Traction;48 000                        km;10.2019;SUV/4x4;62 500        DT;1000;Essence
Renault;Fluence;Manuelle;7                        cv;Traction;205 000                        km;11.2012;Berline;27 300        DT;1598;Essence
Peugeot;207;Manuelle;4                        cv;Traction;290 000                        km;04.2009;Compacte;23 100        DT;1398;Diesel
Dacia;Dokker Van;Manuelle;6                        cv;Propulsion;85 900                        km;03.2018;Autres;33 000        DT;1461;Diesel
Land Rover;Range Rover Velar;Automatique;20                        cv;Intégrale;50 000                        km;10.2018;SUV/4x4;290 000        DT;1999;Essence
Smart;ForTwo;Automatique;5                        cv;Propulsion;60 000                        km;06.2018;Cabriolet;60 000        DT;899;Essence
Fiat;Doblo Maxi;Manuelle;5                        cv;Traction;255 000                        km;10.2014;Monospace;33 000        DT;1300;Diesel
Audi;Q2;Automatique;6                        cv;Traction;220 000                        km;12.2018;SUV/4x4;76 000        DT;999.0                                                    ;Essence
Citroën;C3;Manuelle;5                        cv;Traction;143 000                        km;10.2006;Autres;22 000        DT;1124;Essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;162 000                        km;01.2014;Compacte;49 000        DT;1197;Essence
Mercedes-Benz;Classe C;Automatique;10                        cv;Propulsion;24 000                        km;04.2022;Berline;195 000        DT;1500;Hybride essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Traction;195 000                        km;10.2009;Berline;56 000        DT;1597;Essence
KIA;Picanto;Automatique;5                        cv;Propulsion;55 000                        km;06.2018;Citadine;46 000        DT;1198;Essence
Volkswagen;Jetta;Manuelle;7                        cv;Traction;233 000                        km;10.2010;Berline;33 000        DT;1598;Essence
Citroën;C4;Manuelle;6                        cv;Intégrale;325 000                        km;10.2010;Compacte;28 000        DT;1360;Essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;15 000                        km;11.2014;Compacte;58 000        DT;1197;Essence
Volkswagen;Golf 8;Automatique;8                        cv;Traction;170 000                        km;12.2021;Berline;137 500        DT;1958;Diesel
Land Rover;Range Rover Sport;Automatique;23                        cv;Intégrale;139 000                        km;12.2015;SUV/4x4;200 000        DT;3000;Essence
Chery;QQ;Manuelle;4                        cv;Traction;11 800                        km;01.2017;Citadine;25 300        DT;998;Essence
Peugeot;208;Manuelle;5                        cv;Traction;120 000                        km;09.2019;Citadine;33 900        DT;1199;Essence
Volkswagen;Tiguan;Automatique;8                        cv;Traction;63 000                        km;01.2018;SUV/4x4;95 000        DT;1400;Essence
Mercedes-Benz;Classe A;Automatique;8                        cv;Traction;45 000                        km;06.2020;Coupé;145 000        DT;1300;Essence
Peugeot;207;Manuelle;6                        cv;Traction;224 000                        km;11.2010;Compacte;25 000        DT;1560;Essence
Jaguar;XF;Automatique;16                        cv;Traction;249 000                        km;08.2010;Berline;37 000        DT;2999;Essence
Mahindra;XUV 300;Manuelle;6                        cv;Traction;5 000                        km;06.2023;SUV/4x4;62 000        DT;1197;Essence
Renault;Symbol;Manuelle;5                        cv;Traction;208 000                        km;05.2014;Citadine;24 000        DT;1149;Essence
Peugeot;3008;Automatique;7                        cv;Traction;170 000                        km;02.2020;SUV/4x4;70 000        DT;1495;Essence
Volkswagen;Golf 7;Manuelle;6                        cv;Traction;112 000                        km;12.2019;Berline;71 000        DT;1400;Diesel
Peugeot;2008;Manuelle;6                        cv;Traction;147 000                        km;11.2017;SUV/4x4;45 500        DT;1200;Essence
Honda;City;Automatique;7                        cv;Traction;62 000                        km;01.2021;Citadine;57 000        DT;1500;Essence
Mercedes-Benz;Classe E;Automatique;9                        cv;Traction;148 000                        km;01.2018;Berline;130 000        DT;1595.0                                                    ;Essence
Mercedes-Benz;Classe A;Manuelle;7                        cv;Traction;140 000                        km;10.2014;Berline;68 500        DT;1595;Essence
Ssangyong;XLV;Manuelle;7                        cv;Propulsion;190 000                        km;10.2017;SUV/4x4;53 000        DT;1597;Essence
Nissan;Navara;Manuelle;8                        cv;Traction;203 000                        km;01.2010;Pick up;57 000        DT;2488;Diesel
Peugeot;208;Manuelle;5                        cv;Traction;88 000                        km;08.2021;Citadine;44 900        DT;1200;Essence
Great Wall;M4;Manuelle;6                        cv;Traction;94 000                        km;09.2017;SUV/4x4;41 000        DT;1497;Essence
BMW;Série 3;Manuelle;7                        cv;Propulsion;80 000                        km;01.2014;Berline;60 000        DT;1700;Essence
Renault;Clio;Manuelle;5                        cv;Traction;67 000                        km;05.2014;Citadine;42 000        DT;1149;Essence
Ford;Ecosport;Manuelle;7                        cv;Traction;7 000                        km;08.2023;SUV/4x4;84 500        DT;1000;Essence
Mercedes-Benz;Classe E;Automatique;12                        cv;Propulsion;160 000                        km;06.2012;Berline;63 000        DT;1800;Essence
Mahindra;KUV 100;Manuelle;5                        cv;Traction;90 000                        km;05.2019;Autres;29 000        DT;1200;Essence
Renault;Captur;Manuelle;5                        cv;Traction;39 870                        km;12.2019;SUV/4x4;64 500        DT;1098;Essence
Renault;Clio;Manuelle;5                        cv;Traction;40 000                        km;09.2021;Berline;44 500        DT;898;Essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;180 000                        km;12.2018;Berline;70 000        DT;1600;Diesel
Seat;Ibiza;Manuelle;4                        cv;Traction;97 000                        km;07.2018;Compacte;44 000        DT;999;Essence
Mercedes-Benz;Classe E coupé;Automatique;11                        cv;Propulsion;111 000                        km;04.2018;Coupé;185 000        DT;1991;Essence
Jeep;Compass;Automatique;10                        cv;Intégrale;130 000                        km;02.2016;SUV/4x4;63 000        DT;1368;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;28 000                        km;10.2021;Autres;73 336        DT;1300;Essence
Land Rover;Range Rover Evoque;Automatique;8                        cv;Intégrale;80 500                        km;05.2019;SUV/4x4;205 000        DT;1999;Diesel
BMW;X3;Automatique;9                        cv;Traction;270 000                        km;05.2015;SUV/4x4;75 000        DT;1600;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Traction;177 000                        km;05.2013;Berline;73 000        DT;1595;Essence
Volkswagen;Golf 8;Manuelle;6                        cv;Traction;38 000                        km;09.2021;Compacte;95 000        DT;1000;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;64 000                        km;10.2020;Citadine;62 000        DT;1000;Essence
Peugeot;301;Manuelle;5                        cv;Traction;155 000                        km;06.2014;Berline;19 000        DT;899;Essence
Peugeot;301;Manuelle;5                        cv;Traction;100 000                        km;02.2019;Berline;28 000        DT;1198;Essence
BMW;Série 3;Automatique;7                        cv;Traction;150 000                        km;03.2014;Berline;70 000        DT;1598;Essence
Seat;Arona;Automatique;6                        cv;Traction;65 000                        km;11.2020;SUV/4x4;70 000        DT;1600;Essence
Mahindra;KUV 100;Manuelle;5                        cv;Traction;98 000                        km;02.2020;SUV/4x4;31 000        DT;6000;Essence
Renault;Clio;Manuelle;4                        cv;Traction;34 000                        km;03.2019;Citadine;47 000        DT;899;Essence
Mercedes-Benz;GLA;Manuelle;7                        cv;Traction;97 000                        km;07.2015;SUV/4x4;95 000        DT;1595;Essence
Citroën;C1;Manuelle;4                        cv;Traction;77 885                        km;04.2013;Citadine;24 000        DT;998.0                                                    ;Essence
Infiniti;FX;Automatique;20                        cv;Intégrale;170 000                        km;07.2009;SUV/4x4;50 000        DT;3500;Essence
BMW;Série 3;Automatique;7                        cv;Propulsion;182 000                        km;04.2015;Berline;78 000        DT;1598;Essence
BAIC YX;Kenbo S2;Manuelle;7                        cv;Traction;62 000                        km;05.2018;SUV/4x4;42 300        DT;1498;Essence
Land Rover;Range Rover Evoque;Automatique;11                        cv;Traction;88 000                        km;10.2019;SUV/4x4;179 500        DT;1997;Hybride diesel
Mercedes-Benz;Classe E;Automatique;9                        cv;Traction;327 000                        km;01.2006;Berline;45 000        DT;2148;Diesel
BMW;Série 3;Automatique;10                        cv;Propulsion;130 000                        km;09.2013;Berline;82 500        DT;2000;Essence
Chery;QQ;Manuelle;4                        cv;Traction;55 000                        km;08.2020;Citadine;24 000        DT;998;Essence
Hyundai;i10;Automatique;5                        cv;Traction;131 000                        km;03.2018;Citadine;36 000        DT;4000;Essence
BMW;Série 3;Automatique;7                        cv;Propulsion;135 000                        km;07.2015;Berline;71 000        DT;1600;Essence
Suzuki;Swift;Automatique;5                        cv;Traction;29 000                        km;10.2020;Citadine;47 000        DT;1400;Essence
Renault;Captur;Manuelle;6                        cv;Traction;142 000                        km;07.2014;SUV/4x4;35 000        DT;999;Essence
Mercedes-Benz;Classe A;Manuelle;6                        cv;Traction;80 000                        km;03.2017;Compacte;81 000        DT;1595;Essence
Audi;Q7;Automatique;16                        cv;Intégrale;260 000                        km;04.2007;SUV/4x4;45 000        DT;3000;Diesel
KIA;Rio 5p;Manuelle;5                        cv;Traction;88 000                        km;03.2019;Citadine;54 000        DT;1199;Essence
KIA;Sportage;Manuelle;10                        cv;Intégrale;277 000                        km;10.2010;SUV/4x4;48 000        DT;1995;Diesel
Jaguar;XJ;Automatique;16                        cv;Traction;190 000                        km;11.2016;Berline;160 000        DT;1999;Essence
Mazda;3;Manuelle;6                        cv;Traction;110 000                        km;05.2015;Coupé;48 000        DT;1500;Essence
Mazda;2 Sedan;Manuelle;6                        cv;Traction;115 000                        km;04.2017;Berline;46 000        DT;899;Essence
Mazda;6;Automatique;9                        cv;Traction;141 000                        km;03.2016;Berline;58 000        DT;1998;Essence
Nissan;Qashqai;Automatique;6                        cv;Traction;29 000                        km;03.2018;SUV/4x4;100 000        DT;900;Essence
Mercedes-Benz;Classe C coupé;Automatique;8                        cv;Traction;153 000                        km;01.2017;Coupé;130 000        DT;1800;Essence
Land Rover;Range Rover Velar;Automatique;11                        cv;Propulsion;103 000                        km;02.2020;SUV/4x4;270 000        DT;2000;Diesel
BMW;Série 2 Gran Coupé;Automatique;8                        cv;Traction;49 000                        km;02.2023;Berline;145 000        DT;1500;Essence
BMW;X3;Automatique;10                        cv;Intégrale;214 995                        km;10.2012;SUV/4x4;41 000        DT;899;Diesel
BMW;X1;Automatique;12                        cv;Intégrale;152 000                        km;06.2011;SUV/4x4;35 000        DT;899;Diesel
BMW;Série 3;Automatique;10                        cv;Traction;250 000                        km;04.2014;Berline;77 000        DT;2000;Essence
Fiat;Punto;Manuelle;5                        cv;Traction;240 000                        km;08.2011;Coupé;18 800        DT;1242.0                                                    ;Essence
BMW;Série 4 Gran Coupé;Automatique;7                        cv;Propulsion;82 000                        km;04.2019;Coupé;124 000        DT;1500;Essence
Audi;Q2;Automatique;6                        cv;Traction;85 000                        km;07.2018;SUV/4x4;80 000        DT;999;Essence
Seat;Ibiza;Manuelle;6                        cv;Traction;90 000                        km;07.2020;Compacte;68 000        DT;1598;Essence
Seat;Leon;Manuelle;6                        cv;Traction;145 000                        km;09.2020;Compacte;60 000        DT;1197;Essence
Honda;City;Automatique;7                        cv;Traction;110 000                        km;03.2017;Berline;45 000        DT;1500;Essence
Mercedes-Benz;Classe E coupé;Automatique;11                        cv;Propulsion;74 000                        km;08.2011;Coupé;85 000        DT;1800;Essence
Seat;Leon SC;Manuelle;6                        cv;Traction;167 000                        km;08.2017;Coupé;49 200        DT;1197;Essence
BMW;Série 4 Gran Coupé;Automatique;7                        cv;Traction;66 000                        km;10.2020;Berline;138 000        DT;1600;Essence
Ford;Fiesta;Manuelle;5                        cv;Traction;106 000                        km;05.2017;Citadine;36 500        DT;999;Essence
BMW;X5;Automatique;19                        cv;Traction;252 000                        km;08.2008;SUV/4x4;97 000        DT;2993;Diesel
Renault;Duster;Manuelle;5                        cv;Propulsion;170 000                        km;01.2013;Autres;36 000        DT;1461;Essence
Volvo;S60;Automatique;9                        cv;Traction;170 000                        km;08.2012;Berline;44 000        DT;1600;Essence
KIA;Rio 5p;Manuelle;5                        cv;Intégrale;32 000                        km;09.2021;Coupé;56 000        DT;1197;Essence
Mazda;2;Manuelle;6                        cv;Traction;180 000                        km;10.2016;Coupé;36 800        DT;4000;Essence
Mazda;CX-9;Automatique;20                        cv;Intégrale;272 000                        km;08.2010;SUV/4x4;58 500        DT;3700;Essence
KIA;Picanto;Manuelle;4                        cv;Traction;44 000                        km;05.2021;Citadine;38 500        DT;899;Essence
Seat;Leon;Manuelle;6                        cv;Traction;141 000                        km;05.2017;Compacte;50 000        DT;1197;Essence
Seat;Ibiza;Manuelle;6                        cv;Traction;4 500                        km;07.2023;Citadine;75 000        DT;1000;Essence
KIA;Rio Berline;Manuelle;5                        cv;Traction;174 000                        km;08.2013;Berline;32 500        DT;1200;Essence
Volkswagen;Touareg;Manuelle;12                        cv;Traction;180 000                        km;12.2003;SUV/4x4;32 000        DT;2400;Diesel
Chery;Tiggo 2;Manuelle;6                        cv;Traction;137 000                        km;01.2020;SUV/4x4;43 000        DT;1199;Essence
Audi;Q2;Automatique;6                        cv;Traction;76 000                        km;08.2018;SUV/4x4;82 000        DT;999;Essence
Land Rover;Range Rover Sport;Automatique;28                        cv;Traction;0                        km;02.2024;SUV/4x4;748 000        DT;3000;Hybride rechargeable essence
Land Rover;Defender 110;Automatique;12                        cv;Traction;1                        km;03.2024;SUV/4x4;496 000        DT;2000;Diesel
Citroën;Berlingo Utilitaire;Manuelle;6                        cv;Intégrale;257 000                        km;05.2003;Autres;28 500        DT;1299;Essence
Peugeot;406;Manuelle;7                        cv;Traction;247 000                        km;07.2003;Berline;19 800        DT;999;Essence
Renault;Clio;Manuelle;4                        cv;Propulsion;58 000                        km;03.2021;Citadine;42 500        DT;898;Essence
Suzuki;Swift;Automatique;5                        cv;Traction;11 800                        km;01.2023;Citadine;49 500        DT;1200;Essence
Mahindra;KUV 100;Manuelle;5                        cv;Traction;20 600                        km;02.2019;Citadine;35 000        DT;1193;Essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;158 000                        km;10.2014;Citadine;55 000        DT;1197;Essence
Toyota;C-HR;Automatique;6                        cv;Traction;79 000                        km;02.2020;SUV/4x4;87 000        DT;1200;Essence
Mazda;2;Automatique;6                        cv;Traction;200 000                        km;08.2015;Citadine;35 000        DT;1500;Essence
Hyundai;Tucson;Automatique;8                        cv;Traction;85 000                        km;03.2021;SUV/4x4;90 000        DT;899;Essence
Mercedes-Benz;Classe C;Manuelle;9                        cv;Intégrale;129 000                        km;09.2010;Compacte;59 000        DT;999;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Intégrale;62 000                        km;09.2019;Compacte;180 000        DT;999;Essence
Citroën;C-Elysée;Manuelle;5                        cv;Traction;126 000                        km;04.2018;Berline;28 000        DT;1199;Essence
Mercedes-Benz;Classe A;Automatique;8                        cv;Traction;60 000                        km;03.2019;Citadine;145 000        DT;1300;Essence
Volkswagen;Golf 7;Automatique;6                        cv;Propulsion;181 000                        km;05.2015;Compacte;53 000        DT;1200;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Propulsion;133 000                        km;04.2014;Berline;120 000        DT;2200;Diesel
Volkswagen;Golf 6;Manuelle;5                        cv;Intégrale;240 000                        km;10.2012;Autres;39 000        DT;1598;Diesel
Citroën;C4;Manuelle;6                        cv;Traction;182 000                        km;09.2012;Berline;29 000        DT;1397;Essence
Fiat;Grande Punto;Manuelle;4                        cv;Traction;141 000                        km;04.2016;Citadine;28 700        DT;1242;Essence
KIA;Sorento;Automatique;12                        cv;Intégrale;180 000                        km;11.2015;SUV/4x4;75 000        DT;2199;Diesel
Volkswagen;Polo Sedan;Manuelle;5                        cv;Traction;105 000                        km;12.2018;Berline;42 500        DT;1400;Essence
BMW;X4;Automatique;11                        cv;Traction;100 000                        km;01.2021;SUV/4x4;290 000        DT;1998;Essence
Ford;Focus;Manuelle;6                        cv;Traction;222 000                        km;06.2011;Coupé;27 000        DT;1400;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Traction;194 000                        km;05.2011;Berline;67 000        DT;1800;Essence
Volkswagen;Tiguan;Automatique;12                        cv;Propulsion;92 300                        km;11.2018;SUV/4x4;90 000        DT;2000;Essence
Hyundai;Grand i10;Manuelle;5                        cv;Traction;190 000                        km;07.2015;Citadine;23 500        DT;1248;Essence
Ford;Focus;Manuelle;7                        cv;Traction;185 000                        km;06.2014;Berline;35 000        DT;1596;Essence
Audi;A3 Sportback;Manuelle;5                        cv;Traction;144 000                        km;01.2015;Citadine;62 000        DT;1600;Essence
Mercedes-Benz;Classe C;Manuelle;7                        cv;Traction;137 000                        km;12.2012;Citadine;57 500        DT;2143;Diesel
Land Rover;Range Rover Evoque;Automatique;15                        cv;Traction;116 000                        km;08.2013;SUV/4x4;103 000        DT;2999;Essence
Mini;3 portes;Manuelle;4                        cv;Traction;176 000                        km;09.2010;Compacte;36 000        DT;7000;Essence
Seat;Leon SC;Manuelle;6                        cv;Traction;162 000                        km;05.2017;Compacte;46 500        DT;1200;Essence
Ford;Ecosport;Automatique;7                        cv;Propulsion;125 000                        km;10.2019;SUV/4x4;60 000        DT;998;Essence
Suzuki;Baleno;Automatique;5                        cv;Traction;58 000                        km;12.2018;Berline;48 000        DT;1200;Essence
Peugeot;Expert;Manuelle;7                        cv;Intégrale;295 000                        km;01.2019;Utilitaire;52 000        DT;899;Diesel
BMW;Série 5;Automatique;10                        cv;Propulsion;15 000                        km;02.2023;Berline;255 000        DT;1597;Essence
Volkswagen;Polo;Manuelle;4                        cv;Traction;156 000                        km;10.2010;Citadine;28 500        DT;1200;Essence
Renault;Clio;Manuelle;5                        cv;Traction;53 000                        km;03.2019;Citadine;45 000        DT;1149.0                                                    ;Essence
Porsche;Cayenne;Automatique;30                        cv;Traction;142 000                        km;09.2011;SUV/4x4;179 000        DT;4300;Essence
Nissan;Qashqai;Automatique;6                        cv;Propulsion;57 000                        km;09.2019;SUV/4x4;85 000        DT;900;Essence
Volvo;XC40;Automatique;9                        cv;Traction;36 000                        km;04.2022;SUV/4x4;148 000        DT;1500;Essence
Volkswagen;Golf 8;Automatique;8                        cv;Traction;58 000                        km;02.2021;Citadine;135 000        DT;1968;Diesel
Volkswagen;Golf 8;Automatique;8                        cv;Traction;44 500                        km;10.2021;Compacte;149 000        DT;1499;Hybride essence
