Marque;Modèle;Boite vitesse;Puissance fiscale;Transmission;Kilométrage;Mise en circulation;Carrosserie;price;cylindre;Énergie
MG;ZS;Automatique;7                        cv;Traction;97 000                        km;01.2021;SUV/4x4;68 000        DT;1498;Essence
KIA;Sportage;Automatique;10                        cv;Traction;276 000                        km;11.2018;SUV/4x4;84 000        DT;2000;Diesel
Seat;Ibiza;Manuelle;4                        cv;Traction;160 000                        km;05.2018;Citadine;38 000        DT;902;Essence
Toyota;Prado;Manuelle;11                        cv;Intégrale;335 000                        km;12.2006;SUV/4x4;109 000        DT;3000;Diesel
Chery;Tiggo 3X;Automatique;6                        cv;Traction;4 000                        km;01.2022;Autres;61 000        DT;1000;Essence
Seat;Leon;Manuelle;5                        cv;Traction;231 000                        km;04.2014;Compacte;44 000        DT;1200;Essence
Ford;Figo;Manuelle;5                        cv;Traction;152 000                        km;03.2014;Citadine;23 000        DT;899;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;98 000                        km;08.2021;Coupé;47 900        DT;999;Essence
Opel;Antara;Manuelle;10                        cv;Traction;86 000                        km;03.2010;SUV/4x4;52 000        DT;2400;Essence
Ford;Ecosport;Automatique;7                        cv;Traction;87 000                        km;12.2018;SUV/4x4;63 000        DT;998;Essence
Citroën;DS3;Manuelle;5                        cv;Traction;99 000                        km;11.2013;Coupé;30 500        DT;1200;Essence
KIA;Sportage;Automatique;10                        cv;Traction;115 000                        km;12.2016;SUV/4x4;100 000        DT;899;Diesel
Nissan;Qashqai;Automatique;7                        cv;Traction;72 000                        km;07.2017;SUV/4x4;82 000        DT;1200;Essence
Mahindra;KUV 100;Manuelle;5                        cv;Traction;33 000                        km;07.2021;Citadine;33 000        DT;1198;Essence
Geely;GC6;Manuelle;6                        cv;Intégrale;70 000                        km;01.2020;Berline;34 000        DT;1498;Essence
Citroën;C3;Manuelle;5                        cv;Traction;81 000                        km;10.2017;Berline;40 000        DT;1199;Essence
KIA;Picanto;Manuelle;4                        cv;Traction;65 000                        km;03.2022;Citadine;38 500        DT;998;Essence
Peugeot;Partner;Manuelle;5                        cv;Traction;97 000                        km;01.2020;Utilitaire;45 000        DT;1500;Diesel
BMW;Série 2 Active Tourer;Manuelle;6                        cv;Intégrale;275 000                        km;07.2016;Autres;73 000        DT;1496.0                                                    ;Diesel
Alfa Romeo;Mito;Manuelle;5                        cv;Traction;63 000                        km;06.2019;Citadine;42 000        DT;1368;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;98 000                        km;07.2020;Citadine;52 000        DT;999;Essence
Hyundai;Accent;Automatique;6                        cv;Traction;10 000                        km;03.2022;Berline;74 000        DT;1400;Essence
Peugeot;208;Manuelle;4                        cv;Traction;48 000                        km;02.2022;Citadine;42 000        DT;1199;Essence
Seat;Ateca;Automatique;8                        cv;Traction;47 000                        km;08.2021;Compacte;107 000        DT;1400;Essence
Seat;Ateca;Automatique;8                        cv;Traction;52 000                        km;05.2021;SUV/4x4;112 000        DT;1400;Essence
Mercedes-Benz;Classe C;Manuelle;10                        cv;Traction;262 578                        km;07.2009;Citadine;52 000        DT;2143;Diesel
Mahindra;KUV 100;Manuelle;5                        cv;Traction;39 500                        km;03.2021;Compacte;37 500        DT;1198;Essence
Suzuki;Celerio Populaire;Manuelle;4                        cv;Traction;90 000                        km;05.2020;Citadine;30 500        DT;1000;Essence
Ssangyong;Tivoli;Manuelle;7                        cv;Traction;80 000                        km;03.2019;SUV/4x4;62 000        DT;1597;Essence
Peugeot;208;Manuelle;5                        cv;Traction;90 000                        km;12.2015;Citadine;32 000        DT;1190;Essence
KIA;Sportage;Automatique;8                        cv;Traction;94 000                        km;05.2016;SUV/4x4;80 500        DT;1591;Essence
Peugeot;2008;Manuelle;5                        cv;Traction;83 000                        km;11.2016;SUV/4x4;49 000        DT;1200;Essence
Fiat;Doblo;Manuelle;5                        cv;Traction;170 000                        km;03.2020;Autres;25 000        DT;1300;Diesel
Mercedes-Benz;CLA;Automatique;7                        cv;Traction;133 000                        km;07.2013;Berline;74 000        DT;1600;Essence
Chery;Tiggo 2;Manuelle;6                        cv;Traction;66 000                        km;09.2020;SUV/4x4;46 500        DT;1497;Essence
BMW;Série 1;Manuelle;6                        cv;Propulsion;95 000                        km;08.2017;Citadine;62 000        DT;1499;Essence
Toyota;Corolla;Automatique;6                        cv;Propulsion;80 000                        km;03.2021;Citadine;80 000        DT;901;Essence
Ford;Fiesta;Manuelle;5                        cv;Traction;48 900                        km;10.2017;Citadine;39 000        DT;900;Essence
Citroën;C4 Cactus;Manuelle;5                        cv;Traction;89 000                        km;03.2017;Citadine;44 500        DT;1199.00                                                    ;Essence
Mercedes-Benz;Classe A;Automatique;7                        cv;Traction;187 000                        km;12.2012;Citadine;58 000        DT;1332;Diesel
Volkswagen;Golf 8;Manuelle;6                        cv;Intégrale;73 000                        km;12.2020;Compacte;90 000        DT;999;Essence
Citroën;C4;Manuelle;6                        cv;Traction;200 000                        km;06.2012;Berline;29 000        DT;1397.0                                                    ;Essence
Renault;Kadjar;Automatique;6                        cv;Propulsion;110 000                        km;11.2020;SUV/4x4;80 000        DT;1197;Diesel
Great Wall;M4;Manuelle;6                        cv;Traction;123 000                        km;06.2018;SUV/4x4;40 000        DT;1497;Essence
Lancia;Ypsilon;Manuelle;4                        cv;Intégrale;130 000                        km;08.2015;Berline;33 900        DT;900;Essence
BMW;X5;Automatique;13                        cv;Intégrale;165 000                        km;08.2015;SUV/4x4;185 000        DT;2000;Diesel
Mercedes-Benz;Classe C;Automatique;9                        cv;Traction;300 000                        km;11.2009;Berline;62 000        DT;1799;Essence
Mahindra;KUV 100;Manuelle;5                        cv;Traction;78 000                        km;09.2018;SUV/4x4;31 500        DT;900;Essence
Mazda;3 sedan;Manuelle;6                        cv;Traction;123 000                        km;09.2017;Berline;52 000        DT;1500;Essence
Fiat;Grande Punto;Manuelle;4                        cv;Traction;180 000                        km;07.2016;Citadine;28 000        DT;899;Essence
Volkswagen;Tiguan;Automatique;12                        cv;Intégrale;220 000                        km;12.2012;SUV/4x4;70 000        DT;1984;Essence
MG;ZS;Automatique;7                        cv;Traction;39 900                        km;09.2022;SUV/4x4;78 000        DT;1500;Essence
Citroën;C4;Manuelle;6                        cv;Traction;110 000                        km;07.2014;Compacte;35 500        DT;1397;Essence
Audi;A3 Berline;Automatique;8                        cv;Traction;20 000                        km;06.2022;Berline;140 000        DT;1500;Essence
Mercedes-Benz;Classe C;Automatique;9                        cv;Traction;243 000                        km;06.2009;Berline;55 000        DT;1597;Essence
Mitsubishi;L200 Double Cabine;Manuelle;10                        cv;Traction;600 000                        km;10.2006;SUV/4x4;28 000        DT;2000;Diesel
Mercedes-Benz;GLC;Automatique;9                        cv;Intégrale;250 000                        km;04.2016;SUV/4x4;130 000        DT;2200;Diesel
Renault;Fluence;Automatique;6                        cv;Intégrale;150 000                        km;12.2014;Autres;32 000        DT;1598;Essence
Audi;A4;Manuelle;7                        cv;Traction;224 000                        km;07.2007;Berline;35 500        DT;900;Diesel
Mercedes-Benz;Classe C;Automatique;9                        cv;Intégrale;54 000                        km;11.2021;Autres;205 000        DT;1500;Essence
BMW;Série 4 Gran Coupé;Automatique;7                        cv;Propulsion;79 000                        km;01.2018;Berline;138 000        DT;1499;Essence
BMW;Série 3;Automatique;7                        cv;Traction;170 000                        km;08.2013;Berline;62 500        DT;1598;Essence
Dacia;Dokker Van;Manuelle;6                        cv;Traction;155 000                        km;05.2019;Utilitaire;30 000        DT;1461;Diesel
Volkswagen;Tiguan;Automatique;9                        cv;Intégrale;260 000                        km;10.2009;Berline;45 000        DT;1968;Diesel
Seat;Leon;Manuelle;6                        cv;Traction;138 000                        km;09.2020;Citadine;60 500        DT;1186;Essence
BMW;Série 1;Manuelle;7                        cv;Intégrale;240 000                        km;11.2009;Berline;32 800        DT;1300;Diesel
Mazda;2;Automatique;6                        cv;Traction;135 000                        km;12.2016;Citadine;38 000        DT;1496;Essence
Alfa Romeo;Mito;Manuelle;5                        cv;Traction;43 000                        km;07.2019;Coupé;55 000        DT;1000;Essence
Renault;Laguna;Manuelle;6                        cv;Traction;70 000                        km;02.2009;Berline;22 000        DT;1461;Diesel
Volkswagen;Amarok;Automatique;7                        cv;Intégrale;80 000                        km;09.2021;SUV/4x4;145 000        DT;1968;Diesel
Mercedes-Benz;Classe C;Manuelle;11                        cv;Traction;330 000                        km;04.2003;Berline;26 500        DT;4004;Essence
Ford;Focus;Automatique;6                        cv;Traction;297 000                        km;03.2007;Berline;22 000        DT;1600;Essence
Volkswagen;Passat;Manuelle;7                        cv;Traction;130 000                        km;01.2016;Berline;65 000        DT;2000;Essence
KIA;Sportage;Manuelle;6                        cv;Intégrale;75 600                        km;02.2019;SUV/4x4;91 000        DT;1700;Diesel
KIA;Rio 5p;Manuelle;5                        cv;Traction;162 000                        km;12.2018;Citadine;51 000        DT;1395;Essence
Honda;CR-V;Manuelle;11                        cv;Traction;300 000                        km;12.1998;Pick up;22 500        DT;1498;Essence
Skoda;Octavia;Automatique;8                        cv;Traction;15 000                        km;03.2023;Berline;128 000        DT;1400;Essence
Opel;Corsa;Manuelle;5                        cv;Traction;113 000                        km;07.2016;Citadine;33 000        DT;1229;Essence
Audi;A4;Manuelle;7                        cv;Traction;60 000                        km;08.2011;Berline;60 000        DT;1798;Essence
Hyundai;Grand i10;Manuelle;5                        cv;Traction;96 000                        km;09.2020;Citadine;40 500        DT;1248;Essence
Dacia;Sandero Stepway;Manuelle;5                        cv;Traction;7 000                        km;12.2022;Citadine;59 500        DT;999;Essence
Citroën;C4;Manuelle;6                        cv;Traction;250 000                        km;09.2012;Berline;32 000        DT;1397;Essence
Ford;Fiesta;Manuelle;5                        cv;Traction;246 000                        km;11.2014;Compacte;27 000        DT;899;Essence
Ford;C-Max;Manuelle;5                        cv;Traction;296 000                        km;02.2008;Monospace;23 500        DT;1600;Diesel
KIA;Sportage;Manuelle;6                        cv;Traction;194 000                        km;08.2014;SUV/4x4;68 000        DT;1599;Diesel
MG;ZS;Automatique;7                        cv;Traction;50 110                        km;12.2019;SUV/4x4;70 000        DT;1498;Essence
Volkswagen;Golf 5;Manuelle;5                        cv;Propulsion;260 000                        km;12.2006;Citadine;32 500        DT;1390;Essence
Peugeot;3008;Automatique;9                        cv;Traction;30 000                        km;01.2022;SUV/4x4;130 000        DT;1598;Essence
MG;ZS;Manuelle;7                        cv;Traction;90 000                        km;08.2019;Berline;59 000        DT;1498;Essence
Jeep;Renegade;Automatique;7                        cv;Traction;22 000                        km;01.2023;SUV/4x4;96 000        DT;899;Essence
Volkswagen;Tiguan;Automatique;8                        cv;Propulsion;106 000                        km;02.2019;SUV/4x4;91 000        DT;1399;Essence
Audi;A3 Sportback;Automatique;5                        cv;Traction;45 000                        km;11.2019;Berline;105 000        DT;1200;Essence
Haval;H2;Automatique;9                        cv;Traction;53 000                        km;09.2020;Citadine;70 000        DT;1497;Essence
Seat;Leon SC;Manuelle;6                        cv;Traction;144 000                        km;10.2015;Coupé;43 000        DT;1197;Essence
Ford;Fiesta;Manuelle;5                        cv;Propulsion;110 000                        km;10.2012;Citadine;28 000        DT;1250;Essence
Fiat;Tipo Berline;Manuelle;6                        cv;Traction;121 000                        km;03.2018;Berline;34 500        DT;1368;Essence
KIA;Rio 5p;Manuelle;5                        cv;Traction;12 000                        km;09.2022;Citadine;67 500        DT;1197;Essence
Renault;Kadjar;Automatique;7                        cv;Traction;90 000                        km;04.2018;SUV/4x4;73 000        DT;1200;Essence
Fiat;Fiorino;Manuelle;5                        cv;Propulsion;26 500                        km;03.2022;Utilitaire;39 000        DT;1498;Diesel
Toyota;Yaris;Manuelle;5                        cv;Traction;118 000                        km;01.2018;Berline;39 000        DT;999;Essence
Mercedes-Benz;GLC Coupé;Automatique;12                        cv;Intégrale;116 000                        km;01.2019;SUV/4x4;225 000        DT;2200;Diesel
Toyota;Yaris;Manuelle;4                        cv;Traction;63 000                        km;08.2018;Compacte;38 000        DT;899;Essence
Peugeot;2008;Manuelle;5                        cv;Traction;87 000                        km;07.2019;Autres;60 000        DT;1199;Essence
Seat;Leon;Manuelle;6                        cv;Traction;36 667                        km;09.2020;Compacte;80 000        DT;1200;Essence
Cupra;Leon;Automatique;18                        cv;Propulsion;88 000                        km;01.2020;Berline;115 000        DT;1999;Essence
KIA;Sportage;Automatique;7                        cv;Traction;95 000                        km;03.2019;SUV/4x4;109 000        DT;1599;Diesel
Volkswagen;Caddy;Manuelle;7                        cv;Traction;130 000                        km;06.2020;Utilitaire;55 000        DT;1998;Diesel
Mercedes-Benz;Classe C;Automatique;8                        cv;Traction;150 000                        km;09.2016;Berline;120 000        DT;1899;Essence
Audi;A5 Sportback;Automatique;8                        cv;Propulsion;17 000                        km;12.2021;Berline;200 000        DT;2000;Essence
Peugeot;3008;Automatique;9                        cv;Traction;58 000                        km;12.2019;SUV/4x4;85 000        DT;1600;Essence
KIA;Sportage;Manuelle;7                        cv;Traction;69 000                        km;05.2019;SUV/4x4;98 000        DT;1600;Diesel
Peugeot;301;Manuelle;5                        cv;Traction;190 000                        km;12.2014;Berline;24 000        DT;1199;Essence
Peugeot;301;Manuelle;5                        cv;Traction;171 000                        km;05.2013;Citadine;21 000        DT;899;Essence
Hyundai;Grand i10 Sedan;Manuelle;5                        cv;Traction;119 000                        km;11.2015;Citadine;39 500        DT;899;Essence
Volkswagen;Käfer;Manuelle;7                        cv;Propulsion;100 000                        km;01.1972;Berline;15 000        DT;1300;Essence
Seat;Leon;Manuelle;6                        cv;Traction;136 000                        km;10.2018;Compacte;60 500        DT;1395;Essence
Haval;H6;Automatique;9                        cv;Intégrale;60 000                        km;07.2019;Autres;85 000        DT;1400;Essence
Audi;A4;Automatique;8                        cv;Propulsion;199 000                        km;01.2018;Berline;75 000        DT;1500;Essence
Citroën;C3 Aircross;Manuelle;5                        cv;Traction;10 000                        km;08.2023;SUV/4x4;73 500        DT;1199;Essence
Chery;Tiggo 3X;Automatique;6                        cv;Traction;18 000                        km;05.2023;SUV/4x4;61 000        DT;1500;Essence
Suzuki;Vitara;Manuelle;6                        cv;Traction;83 000                        km;11.2018;SUV/4x4;62 000        DT;1200;Essence
Dacia;Dokker Van;Manuelle;6                        cv;Traction;212 200                        km;05.2017;Berline;28 500        DT;899;Diesel
Renault;Kadjar;Manuelle;7                        cv;Traction;36 500                        km;10.2016;SUV/4x4;70 800        DT;1197;Essence
Fiat;Siena;Manuelle;5                        cv;Intégrale;234 000                        km;08.2004;Berline;15 500        DT;900;Essence
Ford;Ecosport;Automatique;7                        cv;Traction;84 000                        km;12.2018;SUV/4x4;67 000        DT;998;Essence
DFSK;K01H;Manuelle;6                        cv;Traction;80 000                        km;07.2019;Utilitaire;23 000        DT;1310;Essence
Ford;Focus;Manuelle;6                        cv;Traction;154 000                        km;03.2010;Coupé;30 000        DT;1400;Essence
Mercedes-Benz;Classe A;Automatique;7                        cv;Traction;131 000                        km;06.2019;Citadine;98 000        DT;1332;Essence
BMW;Série 5;Automatique;9                        cv;Traction;165 000                        km;08.2014;Berline;80 000        DT;1592;Essence
Chery;Tiggo 3;Manuelle;8                        cv;Traction;110 000                        km;08.2018;SUV/4x4;43 000        DT;1598.0                                                    ;Essence
Jeep;Compass;Automatique;12                        cv;Intégrale;47 000                        km;10.2019;SUV/4x4;140 000        DT;2400;Essence
Volkswagen;Golf 7;Manuelle;6                        cv;Traction;51 000                        km;10.2019;Berline;76 000        DT;1000;Essence
Volkswagen;Passat;Manuelle;7                        cv;Traction;265 000                        km;05.2009;Berline;31 500        DT;1598;Essence
BMW;Série 4 Gran Coupé;Automatique;7                        cv;Propulsion;214 000                        km;10.2017;Berline;90 000        DT;1499;Essence
Haval;H6;Automatique;9                        cv;Traction;18 000                        km;09.2020;SUV/4x4;95 000        DT;1600;Essence
Ssangyong;Tivoli;Manuelle;7                        cv;Traction;86 000                        km;06.2017;SUV/4x4;55 000        DT;1600;Essence
Peugeot;3008;Automatique;6                        cv;Traction;175 000                        km;08.2017;SUV/4x4;82 000        DT;1560;Diesel
Peugeot;2008;Manuelle;5                        cv;Traction;137 600                        km;10.2016;SUV/4x4;42 000        DT;1199;Essence
Dacia;Dokker Van;Manuelle;6                        cv;Traction;366 000                        km;04.2015;Utilitaire;24 000        DT;1461;Diesel
Toyota;RAV 4;Automatique;9                        cv;Traction;129 000                        km;10.2016;SUV/4x4;83 000        DT;2000;Essence
Mercedes-Benz;Classe C coupé;Automatique;8                        cv;Traction;122 000                        km;07.2016;Coupé;138 000        DT;1600;Essence
Porsche;Cayenne;Automatique;21                        cv;Intégrale;19 000                        km;06.2022;SUV/4x4;480 000        DT;2998;Hybride rechargeable essence
BMW;Série 3;Automatique;7                        cv;Propulsion;130 000                        km;10.2016;Autres;79 000        DT;899;Essence
Honda;City;Automatique;7                        cv;Traction;80 000                        km;08.2020;Berline;48 000        DT;1497;Essence
Geely;GC6;Manuelle;6                        cv;Intégrale;56 000                        km;10.2021;Berline;32 000        DT;1498.0                                                    ;Essence
Chery;Tiggo 2;Manuelle;6                        cv;Intégrale;37 000                        km;02.2020;SUV/4x4;43 000        DT;1497;Essence
KIA;Sportage;Automatique;8                        cv;Intégrale;73 000                        km;08.2019;SUV/4x4;122 500        DT;1600;Essence
Great Wall;M4;Manuelle;6                        cv;Propulsion;90 000                        km;06.2018;Citadine;40 900        DT;1497;Essence
Citroën;DS3;Manuelle;5                        cv;Traction;206 000                        km;01.2012;Coupé;26 900        DT;1397;Essence
Ssangyong;Tivoli;Automatique;7                        cv;Traction;155 000                        km;02.2016;Autres;55 000        DT;1598;Essence
Audi;A3 Berline;Automatique;8                        cv;Traction;48 000                        km;06.2022;Berline;180 508        DT;1395.0                                                    ;Essence
Ssangyong;Tivoli;Automatique;7                        cv;Traction;125 000                        km;08.2016;Autres;53 000        DT;999;Essence
Renault;Kadjar;Manuelle;7                        cv;Traction;110 000                        km;12.2018;SUV/4x4;65 000        DT;1197;Essence
Haval;Jolion;Automatique;9                        cv;Traction;47 000                        km;07.2021;SUV/4x4;89 000        DT;1497;Essence
Audi;A4;Automatique;8                        cv;Propulsion;100 000                        km;11.2020;Berline;95 000        DT;1400;Essence
Audi;Q5;Automatique;10                        cv;Traction;190 000                        km;03.2012;SUV/4x4;68 500        DT;899;Diesel
BMW;Série 3;Manuelle;7                        cv;Traction;99 000                        km;03.2010;Coupé;47 000        DT;899;Essence
KIA;Rio 5p;Manuelle;5                        cv;Traction;90 000                        km;06.2020;Coupé;54 000        DT;899;Essence
Mercedes-Benz;Classe B;Automatique;5                        cv;Propulsion;109 000                        km;10.2014;Monospace;67 500        DT;1461;Diesel
Nissan;Qashqai;Automatique;6                        cv;Traction;100 000                        km;12.2019;SUV/4x4;72 000        DT;1200;Essence
Ford;Focus;Automatique;6                        cv;Traction;100 000                        km;05.2017;Compacte;46 000        DT;999;Essence
Toyota;C-HR;Manuelle;6                        cv;Traction;26 000                        km;09.2021;SUV/4x4;90 000        DT;899;Essence
Ford;Fiesta;Manuelle;5                        cv;Traction;230 000                        km;11.2012;Citadine;28 400        DT;1241;Essence
Chevrolet;Cruze;Manuelle;7                        cv;Traction;119 900                        km;11.2018;Berline;42 500        DT;1598;Essence
Audi;A4;Manuelle;7                        cv;Traction;175 000                        km;07.2012;Berline;44 000        DT;1798;Essence
Honda;City;Automatique;7                        cv;Traction;54 000                        km;01.2020;Citadine;55 000        DT;1499;Essence
Geely;GC6;Manuelle;6                        cv;Traction;117 000                        km;03.2021;Berline;38 000        DT;1498;Essence
Seat;Arona;Manuelle;6                        cv;Traction;75 000                        km;08.2018;SUV/4x4;65 000        DT;1500;Essence
KIA;Sportage;Automatique;8                        cv;Traction;95 000                        km;01.2019;SUV/4x4;92 000        DT;1596;Essence
Toyota;Agya;Manuelle;4                        cv;Traction;23 000                        km;04.2022;Coupé;33 500        DT;1034;Essence
