prix;Kilométrage;Mise en circulation;Énergie;Boite vitesse;Puissance fiscale;Transmission;Carrosserie;Date de l'annonce;Gouvernorat;Marque;Modèle;Génération;Couleur extérieure;Couleur intérieure;Sellerie;Nombre de places;Nombre de portes;Cylindrée
55000DT;43000km;07.2019;Essence;Manuelle;5cv;Traction;Coupé;02.03.2024;Tunis;AlfaRomeo;Mito;Phase3;"""""";"""""";"""""";"""""";"""""";""""""
22000DT;70000km;02.2009;Diesel;Manuelle;6cv;Traction;Berline;02.03.2024;BenArous;Renault;Laguna;IIIBerline;"""""";"""""";"""""";"""""";"""""";""""""
22000DT;297000km;03.2007;Essence;Automatique;6cv;Traction;Berline;02.03.2024;Kasserine;Ford;Focus;"""""";Noir;Autre;Tissu;5;4;1600cm³
65000DT;130000km;01.2016;Essence;Manuelle;7cv;Traction;Berline;03.03.2024;Sfax;Volkswagen;Passat;"""""";Noir;Noir;Tissu;5;5;2000cm³
91000DT;75600km;02.2019;Diesel;Manuelle;6cv;Intégrale;SUV/4x4;03.03.2024;Mahdia;KIA;Sportage;"""""";Noir;Noir;Cuirpartiel;5;4;1700cm³
51000DT;162000km;12.2018;Essence;Manuelle;5cv;Traction;Citadine;03.03.2024;Sfax;KIA;Rio5p;"""""";Blanc;Noir;Tissu;5;4;1395cm³
22500DT;300000km;12.1998;Essence;Manuelle;11cv;Traction;Pickup;03.03.2024;Tunis;Honda;CR-V;mkI;"""""";"""""";"""""";"""""";"""""";""""""
128000DT;15000km;03.2023;Essence;Automatique;8cv;Traction;Berline;03.03.2024;BenArous;Skoda;Octavia;(NX3);"""""";"""""";"""""";"""""";"""""";""""""
33000DT;113000km;07.2016;Essence;Manuelle;5cv;Traction;Citadine;03.03.2024;Ariana;Opel;Corsa;E5Portes(0S_68);"""""";"""""";"""""";"""""";"""""";""""""
60000DT;60000km;08.2011;Essence;Manuelle;7cv;Traction;Berline;03.03.2024;Ariana;Audi;A4;"""""";Noir;Beige;Cuirintégral;5;4;1798cm³
40500DT;96000km;09.2020;Essence;Manuelle;5cv;Traction;Citadine;03.03.2024;Tunis;Hyundai;Grandi10;II;"""""";"""""";"""""";"""""";"""""";""""""
59500DT;7000km;12.2022;Essence;Manuelle;5cv;Traction;Citadine;04.03.2024;Sousse;Dacia;SanderoStepway;III;"""""";"""""";"""""";"""""";"""""";""""""
32000DT;250000km;09.2012;Essence;Manuelle;6cv;Traction;Berline;04.03.2024;Médenine;Citroën;C4;"""""";Blanc;Gris;Tissu;5;5;1397cm³
27000DT;246000km;11.2014;Essence;Manuelle;5cv;Traction;Compacte;04.03.2024;Sousse;Ford;Fiesta;"""""";Bleu;Noir;Similicuir;5;4;899cm³
24500DT;49000km;05.2021;Essence;Manuelle;4cv;Traction;Compacte;04.03.2024;Nabeul;Chery;QQ;"""""";Blanc;Noir;Tissu;4;4;998cm³
23500DT;296000km;02.2008;Diesel;Manuelle;5cv;Traction;Monospace;04.03.2024;Nabeul;Ford;C-Max;"""""";Grisargent;Gris;Tissu;5;4;1600cm³
39500DT;168000km;04.2010;Essence;Automatique;20cv;Intégrale;SUV/4x4;04.03.2024;Nabeul;Mazda;CX-9;(09/2007-06/2016);Grisargent;Noir;Cuirintégral;7;5;""""""
187000DT;30200km;12.2021;Essence;Automatique;9cv;Traction;SUV/4x4;04.03.2024;Tunis;Mercedes-Benz;GLA;"""""";Grisanthracite;Marron;Cuirintégral;5;5;""""""
167000DT;107000km;01.2020;Essence;Automatique;10cv;Propulsion;Berline;04.03.2024;Tunis;BMW;Série3;"""""";Noir;Marron;Cuirintégral;5;4;""""""
28000DT;252000km;04.2012;Essence;Automatique;7cv;Traction;Berline;04.03.2024;Tunis;Citroën;C5;"""""";Grisanthracite;Noir;Tissu;5;5;1600cm³
68000DT;194000km;08.2014;Diesel;Manuelle;6cv;Traction;SUV/4x4;04.03.2024;SidiBouzid;KIA;Sportage;IIIPhase2(Fab.Slovaquie);"""""";"""""";"""""";"""""";"""""";""""""
70000DT;50110km;12.2019;Essence;Automatique;7cv;Traction;SUV/4x4;04.03.2024;Tunis;MG;ZS;"""""";Blanc;Beige;Similicuir;5;5;1498cm³
32500DT;260000km;12.2006;Essence;Manuelle;5cv;Propulsion;Citadine;04.03.2024;Bizerte;Volkswagen;Golf5;"""""";GrisShark;Noir;Tissu;5;4;1390cm³
130000DT;30000km;01.2022;Essence;Automatique;9cv;Traction;SUV/4x4;04.03.2024;Ariana;Peugeot;3008;IIPhase2;"""""";"""""";"""""";"""""";"""""";""""""
91000DT;106000km;02.2019;Essence;Automatique;8cv;Propulsion;SUV/4x4;05.03.2024;Tunis;Volkswagen;Tiguan;II;"""""";"""""";"""""";"""""";"""""";""""""
45000DT;55000km;09.2021;Diesel;Automatique;5cv;Traction;Utilitaire;05.03.2024;Siliana;Fiat;Doblo;"""""";GrisShark;"""""";"""""";"""""";"""""";""""""
105000DT;45000km;11.2019;Essence;Automatique;5cv;Traction;Berline;05.03.2024;BenArous;Audi;A3Sportback;Série3Phase2;"""""";"""""";"""""";"""""";"""""";""""""
70000DT;53000km;09.2020;Essence;Automatique;9cv;Traction;Citadine;05.03.2024;Sfax;Haval;H2;"""""";Noir;Marron;Cuirintégral;5;5;1497cm³
43000DT;144000km;10.2015;Essence;Manuelle;6cv;Traction;Coupé;05.03.2024;Ariana;Seat;LeonSC;"""""";Blanc;Noir;Tissu;5;5;1197cm³
120000DT;70000km;09.2019;Diesel;Automatique;7cv;Intégrale;Pickup;05.03.2024;Ariana;Ssangyong;Musso;"""""";Noir;Marron;Cuirintégral;5;4;""""""
28000DT;110000km;10.2012;Essence;Manuelle;5cv;Propulsion;Citadine;05.03.2024;Tunis;Ford;Fiesta;"""""";Bleu;Gris;Similicuir;5;5;1250cm³
60000DT;143000km;06.2007;Essence;Manuelle;11cv;Propulsion;Autres;05.03.2024;Tunis;BMW;Série5;"""""";Autre;Cuirintégral;120;"""""";"""""";""""""
