prix;Kilométrage;Mise en circulation;Énergie;Boite vitesse;Puissance fiscale;Transmission;Carrosserie;Date de l'annonce;Gouvernorat;Marque;Modèle;Génération;Couleur extérieure;Couleur intérieure;Sellerie;Nombre de places;Nombre de portes;Cylindrée
22000DT;299000km;02.2017;Diesel;Manuelle;5cv;Traction;Utilitaire;12.03.2024;Tunis;Fiat;Fiorino;(225)Phase2;"""""";"""""";"""""";"""""";"""""";""""""
117000DT;140000km;10.2014;Essence;Automatique;8cv;Traction;Berline;12.03.2024;Nabeul;Mercedes-Benz;ClasseC;(205)Berline;"""""";"""""";"""""";"""""";"""""";""""""
56000DT;32000km;07.2021;Essence;Manuelle;6cv;Traction;Monospace;12.03.2024;Tunis;Fiat;Doblo;Autre;"""""";"""""";"""""";"""""";"""""";""""""
45000DT;100000km;12.2021;Essence;Manuelle;4cv;Traction;Citadine;12.03.2024;Ariana;Seat;Ibiza;VPhase2;"""""";"""""";"""""";"""""";"""""";""""""
26000DT;211000km;10.2008;Essence;Manuelle;6cv;Traction;Berline;12.03.2024;Tunis;Peugeot;207;5portes;"""""";"""""";"""""";"""""";"""""";""""""
42000DT;111000km;07.2019;Essence;Manuelle;5cv;Traction;Citadine;12.03.2024;Tunis;Hyundai;i20;"""""";Noir;Noir;Similicuir;5;5;1197cm³
28500DT;145000km;01.2013;Essence;Manuelle;4cv;Traction;Citadine;12.03.2024;Bizerte;Fiat;500;"""""";Blanc;Beige;Tissu;4;3;1200cm³
85000DT;210000km;01.2016;Diesel;Manuelle;7cv;Traction;Pickup;12.03.2024;Gafsa;Volkswagen;Amarok;S1-DoubleCabine;"""""";"""""";"""""";"""""";"""""";""""""
75000DT;79000km;10.2018;Essence;Manuelle;6cv;Traction;Compacte;12.03.2024;Ariana;Volkswagen;Golf7;SportsvanPhase2;"""""";"""""";"""""";"""""";"""""";""""""
88000DT;155000km;09.2013;Diesel;Manuelle;7cv;Traction;Pickup;12.03.2024;Ariana;Volkswagen;Amarok;S1-DoubleCabine;"""""";"""""";"""""";"""""";"""""";""""""
42800DT;214000km;05.2012;Diesel;Manuelle;6cv;Traction;Autres;12.03.2024;Ariana;Nissan;Qashqai+2;"""""";Noir;Gris;Tissu;7;6;1491cm³
153000DT;62000km;05.2017;Essence;Automatique;9cv;Propulsion;Berline;12.03.2024;Ariana;BMW;Série5;(F10LCI)Berline;"""""";"""""";"""""";"""""";"""""";""""""
175000DT;38800km;12.2017;Essence;Automatique;16cv;Propulsion;Berline;12.03.2024;Tunis;Jaguar;XF;(X260)Berline;"""""";"""""";"""""";"""""";"""""";""""""
59000DT;38000km;11.2015;Essence;Automatique;7cv;Traction;SUV/4x4;12.03.2024;Ariana;Ssangyong;Tivoli;"""""";Rouge;Noir;Cuirpartiel;5;5;1600cm³
195000DT;81000km;09.2021;Essence;Automatique;9cv;Traction;SUV/4x4;12.03.2024;Tunis;Mercedes-Benz;GLA;"""""";Blanc;Noir;Similicuir;5;5;1332cm³
62000DT;43000km;11.2019;Essence;Manuelle;7cv;Traction;SUV/4x4;12.03.2024;Sousse;MG;ZS;ZSSUV;"""""";"""""";"""""";"""""";"""""";""""""
11500DT;300000km;01.1989;Diesel;Manuelle;4cv;Traction;Citadine;13.03.2024;Tunis;Audi;80;B3;"""""";"""""";"""""";"""""";"""""";""""""
40000DT;330000km;07.2013;Essence;Manuelle;7cv;Traction;Berline;13.03.2024;Tunis;Audi;A4;"""""";Noir;Noir;Cuirintégral;5;4;1890cm³
50000DT;97500km;09.2017;Essence;Automatique;7cv;Traction;Autres;13.03.2024;Ariana;Ford;Focus;"""""";Autre;Noir;Tissu;5;4;999cm³
49500DT;138000km;08.2010;Essence;Automatique;8cv;Traction;Cabriolet;13.03.2024;Tunis;Abarth;500;"""""";Autre;Autre;Similicuir;2;2;1368cm³
133000DT;73000km;05.2019;Essence;Automatique;7cv;Traction;Berline;13.03.2024;Ariana;BMW;Série4GranCoupé;"""""";Noir;Beige;Cuirintégral;5;5;1500cm³
169000DT;35000km;03.2022;Electrique;Automatique;6cv;Propulsion;Berline;13.03.2024;Monastir;Tesla;Model3;Phase2;"""""";"""""";"""""";"""""";"""""";""""""
190000DT;1000km;03.2024;Electrique;Automatique;9cv;Traction;SUV/4x4;13.03.2024;Monastir;Toyota;BZ4X;"""""";Grisanthracite;Gris;Tissu;5;5;899cm³
25000DT;24000km;01.2022;Essence;Manuelle;4cv;Traction;Autres;13.03.2024;Zaghouan;Chery;QQ;"""""";Blanc;Autre;Tissu;5;5;998cm³
53500DT;21000km;01.2022;Essence;Automatique;5cv;Traction;Citadine;13.03.2024;Sfax;Suzuki;Swift;"""""";Bleu;Noir;Tissu;5;5;1197cm³
135000DT;107000km;10.2018;Diesel;Automatique;12cv;Intégrale;SUV/4x4;13.03.2024;Tunis;Hyundai;GrandSantaFe;"""""";Bleu;Noir;Cuirintégral;7;5;2100cm³
70500DT;115000km;09.2015;Essence;Manuelle;7cv;Traction;Berline;13.03.2024;Ariana;BMW;Série3;"""""";Noir;Gris;Tissu;5;6;1600cm³
68000DT;80000km;12.2017;Essence;Automatique;7cv;Traction;SUV/4x4;13.03.2024;Sfax;Renault;Kadjar;(06/2015-11/2018);Blanc;Noir;Cuirpartiel;5;5;""""""
22000DT;300000km;11.2010;Essence;Manuelle;5cv;Traction;Coupé;13.03.2024;Tunis;Opel;AstraGTC;HGTC(L08);"""""";"""""";"""""";"""""";"""""";""""""
59000DT;96000km;09.2019;Essence;Manuelle;7cv;Traction;SUV/4x4;13.03.2024;Tunis;MG;ZS;ZSSUV;"""""";"""""";"""""";"""""";"""""";""""""
45000DT;112000km;10.2019;Diesel;Manuelle;5cv;Traction;Utilitaire;13.03.2024;Tunis;Peugeot;Partner;"""""";Blanc;Noir;Tissu;2;5;1600cm³
50000DT;124000km;10.2019;Essence;Manuelle;6cv;Traction;Utilitaire;13.03.2024;Tunis;Fiat;DobloCombi;"""""";Blanc;Noir;Tissu;5;5;1400cm³
84000DT;120000km;05.2017;Essence;Automatique;7cv;Traction;SUV/4x4;13.03.2024;Tunis;BMW;X1;"""""";Blanc;Noir;Cuirintégral;5;5;1800cm³
110000DT;278000km;10.2010;Diesel;Automatique;15cv;Intégrale;SUV/4x4;13.03.2024;BenArous;BMW;X6;"""""";Noir;Noir;Cuirintégral;5;5;2997cm³
38000DT;168000km;08.2014;Essence;Manuelle;7cv;Traction;Berline;13.03.2024;Ariana;KIA;Cerato;"""""";Grisargent;Autre;Tissu;5;5;1591cm³
64000DT;270000km;07.2012;Essence;Automatique;9cv;Traction;Compacte;13.03.2024;Sfax;Mercedes-Benz;ClasseC;(204)Phase2Berline;"""""";"""""";"""""";"""""";"""""";""""""
35000DT;64000km;06.2020;Essence;Manuelle;4cv;Traction;Citadine;14.03.2024;BenArous;Peugeot;208;II(P21)5Portes;"""""";"""""";"""""";"""""";"""""";""""""
45000DT;41000km;06.2022;Essence;Manuelle;5cv;Traction;Citadine;14.03.2024;Ariana;KIA;Picanto;(JA)Phase2;"""""";"""""";"""""";"""""";"""""";""""""
58000DT;185000km;08.2015;Diesel;Automatique;11cv;Traction;SUV/4x4;14.03.2024;Sousse;KIA;Sportage;"""""";Blanc;Noir;Cuirintégral;5;4;1995cm³
65000DT;132000km;08.2017;Essence;Manuelle;8cv;Traction;Berline;14.03.2024;Sousse;Audi;A4;"""""";Blanc;Noir;Tissu;5;4;1398cm³
39000DT;130000km;05.2020;Essence;Manuelle;6cv;Propulsion;Berline;14.03.2024;Tunis;Geely;GC6;"""""";Noir;"""""";Cuirintégral;"""""";"""""";""""""
69000DT;260000km;11.2013;Essence;Automatique;10cv;Intégrale;Berline;14.03.2024;Tunis;Mercedes-Benz;ClasseE;(212)Phase2Berline;"""""";"""""";"""""";"""""";"""""";""""""
187000DT;49000km;11.2017;Essence;Automatique;12cv;Propulsion;Coupé;14.03.2024;Sousse;Mercedes-Benz;ClasseCcoupé;(205)Coupé;"""""";"""""";"""""";"""""";"""""";""""""
47000DT;71000km;10.2019;Essence;Manuelle;6cv;Traction;SUV/4x4;14.03.2024;Ariana;Chery;Tiggo2;"""""";Rouge;Noir;Cuirintégral;106;"""""";""""""
195000DT;46000km;01.2021;Hybriderechargeableessence;Automatique;6cv;Traction;SUV/4x4;14.03.2024;Ariana;Mercedes-Benz;GLA;(X247);"""""";"""""";"""""";"""""";"""""";""""""
55000DT;95000km;06.2019;Essence;Manuelle;7cv;Traction;SUV/4x4;14.03.2024;Ariana;MG;ZS;"""""";Blanc;Marron;Similicuir;5;5;1500cm³
94000DT;110000km;05.2015;Essence;Automatique;8cv;Traction;Berline;14.03.2024;Sfax;Mercedes-Benz;ClasseC;(205)Berline;"""""";"""""";"""""";"""""";"""""";""""""
44000DT;100000km;03.2019;Essence;Manuelle;8cv;Traction;SUV/4x4;14.03.2024;Tunis;Chery;Tiggo3;"""""";Noir;Noir;Tissu;5;5;1600cm³
69000DT;180000km;09.2009;Diesel;Automatique;11cv;Intégrale;SUV/4x4;14.03.2024;Tunis;LandRover;Freelander;"""""";Noir;"""""";Cuirintégral;"""""";"""""";""""""
43000DT;106000km;12.2021;Essence;Manuelle;4cv;Traction;Citadine;14.03.2024;Ariana;Seat;Ibiza;VPhase2;"""""";"""""";"""""";"""""";"""""";""""""
42000DT;200km;01.2022;Essence;Manuelle;5cv;Traction;Berline;14.03.2024;Ariana;Volkswagen;PoloSedan;"""""";GrisShark;Noir;Cuirpartiel;5;4;1400cm³
33500DT;42000km;01.2022;Essence;Manuelle;4cv;Traction;Compacte;14.03.2024;BenArous;Suzuki;Celerio;(10/2014-Aujourd'hui);Grisargent;Noir;Tissu;5;4;1000cm³
98000DT;170000km;07.2015;Diesel;Automatique;12cv;Traction;Berline;14.03.2024;BenArous;BMW;Série5;(F10LCI)Berline;"""""";"""""";"""""";"""""";"""""";""""""
47000DT;130000km;05.2017;Essence;Manuelle;6cv;Traction;Compacte;14.03.2024;Tunis;Seat;LeonSC;III(5F5)SC3portesPhase2;"""""";"""""";"""""";"""""";"""""";""""""
75680DT;48000km;09.2021;Essence;Manuelle;5cv;Traction;Citadine;14.03.2024;Nabeul;Peugeot;208;II(P21)5Portes;"""""";"""""";"""""";"""""";"""""";""""""
64000DT;211000km;09.2015;Essence;Automatique;7cv;Propulsion;Berline;15.03.2024;Monastir;BMW;Série3;(F30)Berline;"""""";"""""";"""""";"""""";"""""";""""""
29500DT;210000km;05.2009;Essence;Manuelle;6cv;Traction;Autres;15.03.2024;Tunis;Audi;A4;Série3(8K2);"""""";"""""";"""""";"""""";"""""";""""""
228000DT;46000km;11.2020;Diesel;Automatique;9cv;Traction;Berline;15.03.2024;Sousse;Mercedes-Benz;ClasseE;(213)Phase2Berline;"""""";"""""";"""""";"""""";"""""";""""""
110000DT;23000km;03.2020;Essence;Automatique;8cv;Traction;SUV/4x4;15.03.2024;Ariana;KIA;Sportage;"""""";Noir;Beige;Cuirintégral;5;5;1557cm³
37000DT;276000km;06.2010;Essence;Manuelle;7cv;Traction;Berline;15.03.2024;BenArous;Volkswagen;Golf6;VI5Portes;"""""";"""""";"""""";"""""";"""""";""""""
39800DT;86600km;12.2016;Essence;Manuelle;5cv;Traction;Citadine;15.03.2024;Mahdia;Hyundai;i20;II5Portes(TR-EU);"""""";"""""";"""""";"""""";"""""";""""""
235000DT;44816km;06.2017;Essence;Automatique;15cv;Intégrale;SUV/4x4;15.03.2024;Sfax;Porsche;Macan;"""""";Blanc;"""""";Cuirintégral;"""""";"""""";""""""
178000DT;84476km;05.2018;Diesel;Automatique;10cv;Intégrale;SUV/4x4;15.03.2024;Sfax;BMW;X4;"""""";Noir;"""""";Cuirintégral;"""""";"""""";""""""
118000DT;237273km;09.2015;Essence;Automatique;8cv;Propulsion;Berline;15.03.2024;Sfax;Mercedes-Benz;ClasseC;"""""";Blanc;"""""";Cuirintégral;"""""";"""""";""""""
155000DT;118018km;03.2016;Diesel;Automatique;8cv;Intégrale;SUV/4x4;15.03.2024;Sfax;LandRover;RangeRoverEvoque;"""""";Blanc;"""""";Cuirintégral;"""""";"""""";""""""
160000DT;29241km;09.2021;Hybrideessence;Automatique;6cv;Traction;Compacte;15.03.2024;Sfax;Volkswagen;Golf8;"""""";Grisargent;"""""";"""""";"""""";"""""";""""""
122000DT;124776km;11.2017;Essence;Automatique;8cv;Intégrale;SUV/4x4;15.03.2024;Sfax;Volkswagen;Tiguan;"""""";Grisargent;"""""";Cuirintégral;"""""";"""""";""""""
150000DT;53634km;07.2019;Hybridediesel;Automatique;11cv;Intégrale;SUV/4x4;15.03.2024;Sfax;KIA;Sportage;"""""";Grisargent;"""""";Cuirintégral;"""""";"""""";""""""
140000DT;65004km;08.2019;Hybridediesel;Automatique;11cv;Intégrale;SUV/4x4;15.03.2024;Sfax;KIA;Sportage;"""""";Bleu;"""""";Cuirintégral;"""""";"""""";""""""
350000DT;17313km;11.2022;Hybridediesel;Automatique;12cv;Intégrale;SUV/4x4;15.03.2024;Sfax;Audi;Q5;"""""";Noir;"""""";Cuirintégral;"""""";"""""";""""""
89000DT;48257km;07.2019;Essence;Manuelle;5cv;Traction;Citadine;15.03.2024;Sfax;Volkswagen;Golf7;"""""";Grisanthracite;Gris;Tissu;5;4;900cm³
88000DT;31915km;10.2019;Essence;Manuelle;6cv;Traction;Citadine;15.03.2024;Sfax;Volkswagen;Golf7;"""""";Bleu;Noir;Tissu;5;4;999cm³
148000DT;65786km;04.2021;Essence;Automatique;6cv;Traction;Citadine;15.03.2024;Sfax;Volkswagen;Golf8;"""""";Noir;Noir;Cuirintégral;5;4;1395cm³
198000DT;58499km;11.2020;Hybriderechargeableessence;Automatique;11cv;Traction;Berline;15.03.2024;Sfax;Mercedes-Benz;GLA;(X247);"""""";"""""";"""""";"""""";"""""";""""""
105000DT;32529km;07.2020;Essence;Automatique;7cv;Traction;Coupé;15.03.2024;Sfax;Mini;CooperS;"""""";Noir;Noir;Cuirintégral;5;2;1499cm³
56000DT;36746km;10.2019;Essence;Automatique;6cv;Propulsion;Autres;15.03.2024;Sfax;Dacia;Sandero;"""""";Bleu;Gris;Tissu;5;4;1198cm³
70000DT;63386km;07.2022;Essence;Automatique;5cv;Traction;Compacte;15.03.2024;Sfax;Hyundai;i20;"""""";Rouge;Noir;Cuirintégral;5;4;998cm³
120000DT;75822km;02.2022;Essence;Automatique;9cv;Intégrale;SUV/4x4;15.03.2024;Sfax;Peugeot;3008;"""""";Noir;Noir;Cuirintégral;5;4;1598cm³
98000DT;97059km;03.2019;Diesel;Manuelle;7cv;Intégrale;SUV/4x4;15.03.2024;Sfax;Peugeot;508;"""""";Noir;Noir;Cuirintégral;5;4;1499cm³
205000DT;4315km;06.2023;Essence;Automatique;8cv;Intégrale;SUV/4x4;15.03.2024;Sfax;Volkswagen;Tiguan;"""""";Grisargent;Noir;Cuirintégral;5;4;1498cm³
67000DT;253557km;03.2012;Essence;Automatique;11cv;Traction;Berline;15.03.2024;Sfax;Mercedes-Benz;ClasseE;"""""";Blanc;Noir;Cuirintégral;5;4;1796cm³
109000DT;158000km;01.2015;Essence;Automatique;10cv;Propulsion;Berline;15.03.2024;Ariana;BMW;Série4Coupé;(F32)Coupé;"""""";"""""";"""""";"""""";"""""";""""""
63000DT;33062km;03.2021;Essence;Manuelle;4cv;Propulsion;Citadine;15.03.2024;Sfax;Volkswagen;Polo;"""""";Blanc;Noir;Tissu;5;4;999cm³
52000DT;217000km;02.2014;Diesel;Manuelle;7cv;Traction;Berline;15.03.2024;Tunis;Mercedes-Benz;ClasseA;"""""";Noir;Noir;Cuirpartiel;5;4;1796cm³
25000DT;200000km;12.2009;Diesel;Manuelle;7cv;Traction;Monospace;15.03.2024;Nabeul;Peugeot;Boxer;"""""";Blanc;Noir;Tissu;3;2;2198cm³
32500DT;405000km;10.2015;Essence;Manuelle;4cv;Traction;Citadine;15.03.2024;Nabeul;Volkswagen;Polo;"""""";Grisanthracite;Beige;Tissu;5;5;999cm³
23000DT;217000km;06.2009;Essence;Manuelle;6cv;Traction;Coupé;15.03.2024;Tunis;Citroën;C4;ICoupé;"""""";"""""";"""""";"""""";"""""";""""""
85000DT;79000km;01.2018;Essence;Automatique;6cv;Traction;SUV/4x4;15.03.2024;Tunis;Audi;Q2;(06/2016-Aujourd'hui);Noir;Noir;Tissu;5;5;6cv
44000DT;8000km;06.2021;Essence;Manuelle;7cv;Intégrale;SUV/4x4;15.03.2024;Tunis;Lada;Niva;"""""";Bleu;Noir;Tissu;5;3;1700cm³
62500DT;48000km;10.2019;Essence;Manuelle;5cv;Traction;SUV/4x4;15.03.2024;Bizerte;Renault;Captur;IPhase2;"""""";"""""";"""""";"""""";"""""";""""""
27300DT;205000km;11.2012;Essence;Manuelle;7cv;Traction;Berline;15.03.2024;BenArous;Renault;Fluence;"""""";Noir;Beige;Similicuir;5;4;1598cm³
23100DT;290000km;04.2009;Diesel;Manuelle;4cv;Traction;Compacte;15.03.2024;BenArous;Peugeot;207;5portes;"""""";"""""";"""""";"""""";"""""";""""""
33000DT;85900km;03.2018;Diesel;Manuelle;6cv;Propulsion;Autres;15.03.2024;Tunis;Dacia;DokkerVan;Van;"""""";"""""";"""""";"""""";"""""";""""""
290000DT;50000km;10.2018;Essence;Automatique;20cv;Intégrale;SUV/4x4;16.03.2024;Sousse;LandRover;RangeRoverVelar;SportIIPhase2;"""""";"""""";"""""";"""""";"""""";""""""
60000DT;60000km;06.2018;Essence;Automatique;5cv;Propulsion;Cabriolet;16.03.2024;Sousse;Smart;ForTwo;-453;"""""";"""""";"""""";"""""";"""""";""""""
33000DT;255000km;10.2014;Diesel;Manuelle;5cv;Traction;Monospace;16.03.2024;Nabeul;Fiat;DobloMaxi;"""""";Grisanthracite;Gris;Tissu;5;4;1300cm³
76000DT;220000km;12.2018;Essence;Automatique;6cv;Traction;SUV/4x4;16.03.2024;Sfax;Audi;Q2;"""""";Grisanthracite;Gris;Cuirintégral;5;5;999.0cm³
22000DT;143000km;10.2006;Essence;Manuelle;5cv;Traction;Autres;16.03.2024;Ariana;Citroën;C3;I(FC/FN)Phase2;"""""";"""""";"""""";"""""";"""""";""""""
49000DT;162000km;01.2014;Essence;Manuelle;5cv;Traction;Compacte;16.03.2024;Tunis;Volkswagen;Golf7;VII5Portes;"""""";"""""";"""""";"""""";"""""";""""""
53000DT;33000km;09.2021;Essence;Manuelle;6cv;Traction;Citadine;16.03.2024;Sousse;Toyota;YarisSedan;"""""";Grisargent;Gris;Tissu;5;4;1329cm³
195000DT;24000km;04.2022;Hybrideessence;Automatique;10cv;Propulsion;Berline;16.03.2024;Sousse;Mercedes-Benz;ClasseC;"""""";Noir;Noir;Alcantara;5;4;1500cm³
58000DT;15000km;11.2014;Essence;Manuelle;5cv;Traction;Compacte;16.03.2024;Sousse;Volkswagen;Golf7;"""""";GrisShark;Gris;Similicuir;5;5;1197cm³
137500DT;170000km;12.2021;Diesel;Automatique;8cv;Traction;Berline;16.03.2024;Monastir;Volkswagen;Golf8;VIIIHB4Motion;"""""";"""""";"""""";"""""";"""""";""""""
200000DT;139000km;12.2015;Essence;Automatique;23cv;Intégrale;SUV/4x4;16.03.2024;Tunis;LandRover;RangeRoverSport;SportII;"""""";"""""";"""""";"""""";"""""";""""""
25300DT;11800km;01.2017;Essence;Manuelle;4cv;Traction;Citadine;16.03.2024;Tunis;Chery;QQ;"""""";Rouge;Gris;Tissu;4;5;998cm³
82900DT;113000km;01.2021;Essence;Automatique;7cv;Traction;SUV/4x4;16.03.2024;Ariana;Peugeot;3008;"""""";Grisargent;"""""";Cuirintégral;"""""";"""""";""""""
33900DT;120000km;09.2019;Essence;Manuelle;5cv;Traction;Citadine;16.03.2024;Sousse;Peugeot;208;IPhase25Portes;"""""";"""""";"""""";"""""";"""""";""""""
59000DT;130000km;05.2018;Essence;Manuelle;6cv;Traction;Citadine;16.03.2024;Sousse;Seat;Leon;"""""";Autre;"""""";Cuirintégral;"""""";"""""";""""""
54000DT;235000km;10.2009;Diesel;Automatique;8cv;Traction;Berline;16.03.2024;Sousse;Mercedes-Benz;ClasseC;"""""";Blanc;"""""";Cuirintégral;"""""";"""""";""""""
95000DT;63000km;01.2018;Essence;Automatique;8cv;Traction;SUV/4x4;16.03.2024;Tunis;Volkswagen;Tiguan;II;"""""";"""""";"""""";"""""";"""""";""""""
145000DT;45000km;06.2020;Essence;Automatique;8cv;Traction;Coupé;16.03.2024;Ariana;Mercedes-Benz;ClasseA;"""""";Noir;Marron;Cuirintégral;4;5;1300cm³
25000DT;224000km;11.2010;Essence;Manuelle;6cv;Traction;Compacte;16.03.2024;Tunis;Peugeot;207;5portes;"""""";"""""";"""""";"""""";"""""";""""""
37000DT;249000km;08.2010;Essence;Automatique;16cv;Traction;Berline;16.03.2024;Ariana;Jaguar;XF;(X250)Berline;"""""";"""""";"""""";"""""";"""""";""""""
62000DT;5000km;06.2023;Essence;Manuelle;6cv;Traction;SUV/4x4;16.03.2024;Gafsa;Mahindra;XUV300;"""""";Blanc;Noir;Tissu;5;5;1197cm³
24000DT;208000km;05.2014;Essence;Manuelle;5cv;Traction;Citadine;16.03.2024;Ariana;Renault;Symbol;"""""";Noir;Noir;Similicuir;5;5;1149cm³
70000DT;170000km;02.2020;Essence;Automatique;7cv;Traction;SUV/4x4;17.03.2024;Nabeul;Peugeot;3008;"""""";Noir;Noir;Similicuir;5;5;1495cm³
71000DT;112000km;12.2019;Diesel;Manuelle;6cv;Traction;Berline;17.03.2024;Sousse;Volkswagen;Golf7;"""""";Bleu;Noir;Tissu;5;5;1400cm³
45500DT;147000km;11.2017;Essence;Manuelle;6cv;Traction;SUV/4x4;17.03.2024;Nabeul;Peugeot;2008;(A94)5HB;"""""";"""""";"""""";"""""";"""""";""""""
57000DT;62000km;01.2021;Essence;Automatique;7cv;Traction;Citadine;17.03.2024;Ariana;Honda;City;"""""";Grisargent;Noir;Cuirpartiel;5;5;1500cm³
130000DT;148000km;01.2018;Essence;Automatique;9cv;Traction;Berline;17.03.2024;Tunis;Mercedes-Benz;ClasseE;(213)Berline;"""""";"""""";"""""";"""""";"""""";""""""
68500DT;140000km;10.2014;Essence;Manuelle;7cv;Traction;Berline;17.03.2024;Nabeul;Mercedes-Benz;ClasseA;(W176);"""""";"""""";"""""";"""""";"""""";""""""
42000DT;67000km;05.2014;Essence;Manuelle;5cv;Traction;Citadine;17.03.2024;Tunis;Renault;Clio;IV5Portes;"""""";"""""";"""""";"""""";"""""";""""""
84500DT;7000km;08.2023;Essence;Manuelle;7cv;Traction;SUV/4x4;17.03.2024;Tunis;Ford;Ecosport;Phase3;"""""";"""""";"""""";"""""";"""""";""""""
63000DT;160000km;06.2012;Essence;Automatique;12cv;Propulsion;Berline;17.03.2024;Sousse;Mercedes-Benz;ClasseE;"""""";Blanc;Marron;Cuirintégral;5;4;1800cm³
29000DT;90000km;05.2019;Essence;Manuelle;5cv;Traction;Autres;17.03.2024;Ariana;Mahindra;KUV100;"""""";GrisShark;Gris;Tissu;5;5;1200cm³
64500DT;39870km;12.2019;Essence;Manuelle;5cv;Traction;SUV/4x4;17.03.2024;Ariana;Renault;Captur;II;"""""";"""""";"""""";"""""";"""""";""""""
44500DT;40000km;09.2021;Essence;Manuelle;5cv;Traction;Berline;17.03.2024;Tunis;Renault;Clio;"""""";Grisargent;Noir;Similicuir;5;5;898cm³
70000DT;180000km;12.2018;Diesel;Manuelle;5cv;Traction;Berline;17.03.2024;Monastir;Volkswagen;Golf7;"""""";Grisargent;Gris;Tissu;5;5;1600cm³
44000DT;97000km;07.2018;Essence;Manuelle;4cv;Traction;Compacte;18.03.2024;Nabeul;Seat;Ibiza;V;"""""";"""""";"""""";"""""";"""""";""""""
185000DT;111000km;04.2018;Essence;Automatique;11cv;Propulsion;Coupé;18.03.2024;LaManouba;Mercedes-Benz;ClasseEcoupé;(238)Coupé;"""""";"""""";"""""";"""""";"""""";""""""
88000DT;99000km;01.2018;Essence;Automatique;8cv;Propulsion;SUV/4x4;18.03.2024;Ariana;Audi;Q3;"""""";GrisShark;"""""";"""""";"""""";"""""";""""""
63000DT;130000km;02.2016;Essence;Automatique;10cv;Intégrale;SUV/4x4;18.03.2024;Tunis;Jeep;Compass;IPhase2;"""""";"""""";"""""";"""""";"""""";""""""
73336DT;28000km;10.2021;Essence;Manuelle;4cv;Traction;Autres;18.03.2024;Béja;Seat;Ibiza;VPhase2;"""""";"""""";"""""";"""""";"""""";""""""
205000DT;80500km;05.2019;Diesel;Automatique;8cv;Intégrale;SUV/4x4;18.03.2024;Nabeul;LandRover;RangeRoverEvoque;EvoqueII;"""""";"""""";"""""";"""""";"""""";""""""
214000DT;8500km;09.2023;Essence;Automatique;8cv;Propulsion;Berline;18.03.2024;Tunis;BMW;Série3;"""""";GrisShark;Rouge;Cuirintégral;5;5;1598cm³
75000DT;270000km;05.2015;Essence;Automatique;9cv;Traction;SUV/4x4;18.03.2024;BenArous;BMW;X3;"""""";Noir;Beige;Similicuir;5;5;1600cm³
170000DT;41000km;05.2019;Essence;Automatique;9cv;Propulsion;Berline;18.03.2024;Tunis;Mercedes-Benz;ClasseE;"""""";Noir;Noir;Cuirintégral;5;5;1588cm³
73000DT;177000km;05.2013;Essence;Automatique;9cv;Traction;Berline;18.03.2024;Sfax;Mercedes-Benz;ClasseC;(204)Phase2Berline;"""""";"""""";"""""";"""""";"""""";""""""
95000DT;38000km;09.2021;Essence;Manuelle;6cv;Traction;Compacte;18.03.2024;Sousse;Volkswagen;Golf8;VIIPhase25Portes;"""""";"""""";"""""";"""""";"""""";""""""
62000DT;64000km;10.2020;Essence;Manuelle;4cv;Traction;Citadine;18.03.2024;Ariana;Seat;Ibiza;V;"""""";"""""";"""""";"""""";"""""";""""""
215000DT;8000km;06.2023;Hybriderechargeableessence;Automatique;6cv;Traction;SUV/4x4;18.03.2024;Tunis;Mercedes-Benz;GLA;(X247);"""""";"""""";"""""";"""""";"""""";""""""
379000DT;101000km;05.2021;Hybriderechargeableessence;Automatique;9cv;Intégrale;Coupé;18.03.2024;Tunis;Mercedes-Benz;GLECoupé;(W167)Coupé;"""""";"""""";"""""";"""""";"""""";""""""
248000DT;33500km;08.2019;Essence;Automatique;12cv;Intégrale;Coupé;18.03.2024;Tunis;Mercedes-Benz;GLCCoupé;"""""";Grisanthracite;"""""";"""""";"""""";"""""";""""""
95000DT;20km;11.2023;Essence;Automatique;7cv;Traction;SUV/4x4;18.03.2024;Tunis;Volkswagen;T-Cross;(12/2018-Aujourd'hui);GrisShark;"""""";"""""";"""""";"""""";""""""
85000DT;92000km;07.2019;Essence;Automatique;6cv;Traction;Compacte;18.03.2024;Tunis;Audi;A3Sportback;Série4Sportback;"""""";"""""";"""""";"""""";"""""";""""""
142000DT;115000km;08.2019;Diesel;Automatique;8cv;Traction;Berline;18.03.2024;Tunis;Mercedes-Benz;CLA;"""""";Noir;Noir;Cuirpartiel;5;5;1997cm³
86000DT;130000km;05.2019;Essence;Automatique;8cv;Intégrale;SUV/4x4;18.03.2024;Tunis;KIA;Sportage;IVPhase2(Fab.Slovaquie);"""""";"""""";"""""";"""""";"""""";""""""
64000DT;145000km;01.2016;Essence;Automatique;7cv;Propulsion;Compacte;18.03.2024;Tunis;BMW;Série1;(F20)LCI5portes;"""""";"""""";"""""";"""""";"""""";""""""
169000DT;186000km;11.2016;Essence;Automatique;15cv;Intégrale;SUV/4x4;18.03.2024;Tunis;Porsche;Macan;(02/2014-05/2018);Noir;Marron;Cuirintégral;5;5;1984cm³
128000DT;60000km;12.2020;Essence;Automatique;8cv;Propulsion;Compacte;18.03.2024;Tunis;BMW;Série1;"""""";Blanc;Autre;Alcantara;5;5;1600cm³
