marque;modele;vertion;prix;nombre de place;nombre de porte;boite vitesse;CARROSSERIE;CYLINDRÉE;ENERGIE;TRANSMISSION;PUISSANCE FISCALE
Suzuki;Baleno;1.5LGLXBVA;76900DT;5;5;Automatique;Compacte;1462CM³;Essence;Traction;6CV
Suzuki;Baleno;1.5LGLBVM;66900DT;5;5;Manuelle;Compacte;1462CM³;Essence;Traction;6CV
Suzuki;Ciaz;1.5GLXBVA;73900DT;5;4;Automatique;Berline;1462CM³;Essence;Traction;6CV
Suzuki;Ciaz;1.5LGLX;69900DT;5;4;Manuelle;Berline;1462CM³;Essence;Traction;6CV
Suzuki;Ciaz;1.5LGLBVA;67900DT;5;4;Automatique;Berline;1462CM³;Essence;Traction;6CV
Suzuki;Ciaz;1.5LGL;62900DT;5;4;Manuelle;Berline;1462CM³;Essence;Traction;6CV
Suzuki;Dzire;1.2LGLXPack;57400DT;5;4;Manuelle;Berline;1197CM³;Essence;Traction;5CV
Suzuki;Dzire;1.2LGL;54400DT;5;4;Manuelle;Berline;1197CM³;Essence;Traction;5CV
Suzuki;Swift;1.2LGLXPackBVA;61900DT;5;5;Automatique;Citadine;1197CM³;Essence;Traction;5CV
Suzuki;Swift;1.2LGLXPack;56900DT;5;5;Manuelle;Citadine;1197CM³;Essence;Traction;5CV
Suzuki;Swift;1.2LGLBVA;55900DT;5;5;Automatique;Citadine;1197CM³;Essence;Traction;5CV
Suzuki;Swift;1.2LGL;52400DT;5;5;Manuelle;Citadine;1197CM³;Essence;Traction;5CV
Suzuki;Celerio;1.0LGLBVA;49900DT;5;5;Automatique;Citadine;998CM³;Essence;Traction;4CV
Suzuki;CelerioPopulaire;1.0LGL;28471DT;5;5;Manuelle;Citadine;998CM³;Essence;Traction;4CV
Ssangyong;Rexton;2.2LDiesel5placesBVA;327300DT;5;5;Automatique;SUV;2157CM³;Diesel;Intégrale;12CV
Ssangyong;Torres;1.5LT-GDI4WDBVA;184580DT;5;5;Automatique;SUV;1497CM³;Essence;Intégrale;9CV
Ssangyong;Musso;2.2lDiesel4WDBVA;158645DT;5;4;Automatique;Pickup;2157CM³;Diesel;Intégrale;7CV
Ssangyong;Musso;2.2lDiesel4WD;136845DT;5;4;Manuelle;Pickup;2157CM³;Diesel;Intégrale;7CV
Ssangyong;Korando;1.5LGDILimitedBVA;126980DT;5;5;Automatique;SUV;1497CM³;Essence;Traction;9CV
Ssangyong;Tivoli;1.5TiLOVITBVA;104575DT;5;5;Automatique;SUV;1497CM³;Essence;Traction;8CV
Soueast;DX7;1.5TGDIDCT;124990DT;5;5;Automatique;SUV;1480CM³;Essence;Traction;9CV
Soueast;DX3;1.5TBVA;96990DT;5;5;Automatique;SUV;1499CM³;Essence;Traction;8CV
Soueast;DX3;1.5L;82990DT;5;5;Manuelle;SUV;1499CM³;Essence;Traction;6CV
Skoda;Kodiaq;1.4lTSIAmbition5placesDSG;163980DT;5;5;Automatique;SUV;1395CM³;Essence;Traction;9CV
Skoda;Karoq;1.4lTSIStyleEditionSpécialeBVA;151980DT;5;5;Automatique;SUV;1395CM³;Essence;Traction;8CV
Skoda;Karoq;1.4lTSIStyleBVA;151980DT;5;5;Automatique;SUV;1395CM³;Essence;Traction;8CV
Skoda;Karoq;1.4lTSIAmbitionBVA;142980DT;5;5;Automatique;SUV;1395CM³;Essence;Traction;8CV
Skoda;Superb;1.4TSISportlineDSG;164980DT;5;4;Automatique;Berline;1395CM³;Essence;Traction;8CV
Skoda;OctaviaRS;2.0TSIDSG;216980DT;5;4;Automatique;Berline;1984CM³;Essence;Traction;14CV
Skoda;Octavia;1.4TSIStyleBVA;135980DT;5;4;Automatique;Berline;1395CM³;Essence;Traction;8CV
Skoda;Octavia;1.4TSIAmbitionBVA;117980DT;5;4;Automatique;Berline;1395CM³;Essence;Traction;8CV
Skoda;Kamiq;1.0LTSIMonteCarloDSG;109980DT;5;5;Automatique;SUV;999CM³;Essence;Traction;6CV
Skoda;Kamiq;1.0LTSISelectionDSG;104980DT;5;5;Automatique;SUV;999CM³;Essence;Traction;6CV
Skoda;Kamiq;1.0LTSIEssenceDSG;91980DT;5;5;Automatique;SUV;999CM³;Essence;Traction;6CV
Skoda;Scala;1.0LTSIStyleDSG;94980DT;5;5;Automatique;Compacte;999CM³;Essence;Traction;6CV
Skoda;Scala;1.0LTSIAmbitionDSG;85980DT;5;5;Automatique;Compacte;999CM³;Essence;Traction;6CV
Skoda;Scala;1.0LTSIActiveDSG;81980DT;5;5;Automatique;Compacte;999CM³;Essence;Traction;6CV
Skoda;Kushaq;1.0TSIStyleBVA;89980DT;5;5;Automatique;SUV;999CM³;Essence;Traction;7CV
Skoda;Kushaq;1.0TSIAmbitionBVA;82980DT;5;5;Automatique;SUV;999CM³;Essence;Traction;7CV
Skoda;Kushaq;1.0TSIAmbition;76980DT;5;5;Manuelle;SUV;999CM³;Essence;Traction;6CV
Skoda;Fabia;1.0LMPIMonteCarlo;82480DT;5;5;Manuelle;Citadine;999CM³;Essence;Traction;4CV
Skoda;Fabia;1.0LMPISelection;71480DT;5;5;Manuelle;Citadine;999CM³;Essence;Traction;4CV
Skoda;Fabia;1.0LMPIEssence;66980DT;5;5;Manuelle;Citadine;999CM³;Essence;Traction;4CV
Seat;Tarraco;1.4LTSIFRBVA;166980DT;5;5;Automatique;SUV;1395CM³;Essence;Traction;9CV
Seat;Ateca;1.4LTSIFR;137980DT;5;5;Automatique;SUV;1395CM³;Essence;Traction;8CV
Seat;Ateca;1.4LTSIXperience;132980DT;5;5;Automatique;SUV;1395CM³;Essence;Traction;8CV
Seat;Ateca;1.4LTSIStyle;121980DT;5;5;Automatique;SUV;1395CM³;Essence;Traction;8CV
Seat;Leon;1.4TSIFR;118980DT;5;5;Automatique;Compacte;1395CM³;Essence;Traction;8CV
Seat;Leon;1.4TSIDynamic;99980DT;5;5;Automatique;Compacte;1395CM³;Essence;Traction;8CV
Seat;Arona;1.0TSIFR;97980DT;5;5;Automatique;SUV;999CM³;Essence;Traction;6CV
Seat;Arona;1.0TSIXperience;94980DT;5;5;Automatique;SUV;999CM³;Essence;Traction;6CV
Seat;Arona;1.0TSIStyle;87980DT;5;5;Automatique;SUV;999CM³;Essence;Traction;6CV
Seat;Ibiza;1.0LTSIFRBVA;87980DT;5;5;Automatique;Citadine;999CM³;Essence;Traction;6CV
Seat;Ibiza;1.0LTSIXcellenceBVA;84980DT;5;5;Automatique;Citadine;999CM³;Essence;Traction;6CV
Seat;Ibiza;1.0LTSIStyle;72980DT;5;5;Manuelle;Citadine;999CM³;Essence;Traction;6CV
Seat;Ibiza;1.0LTSIReferenceBVA;72980DT;5;5;Automatique;Citadine;999CM³;Essence;Traction;6CV
Renault;Master;2.3L13m3;89950DT;3;4;Manuelle;Utilitaire;2298CM³;Diesel;Traction;8CV
Renault;Master;2.3L10.8m3;87950DT;3;4;Manuelle;Utilitaire;2298CM³;Diesel;Traction;8CV
Renault;Master;2.3L8m3;84900DT;3;4;Manuelle;Utilitaire;2298CM³;Diesel;Traction;8CV
Renault;ExpressVan;1.5LdCi;56950DT;2;4;Manuelle;Utilitaire;1461CM³;Diesel;Traction;5CV
Renault;Austral;1.3L;139900DT;5;5;Automatique;SUV;1332CM³;Essence;Traction;8CV
Renault;MeganeSedan;1.3LTCE140BVA;109950DT;5;4;Automatique;Berline;1332CM³;Essence;Traction;8CV
Renault;MeganeSedan;1.3LTCE140;101650DT;5;4;Manuelle;Berline;1332CM³;Essence;Traction;8CV
Renault;Megane;1.3LTCE140;94950DT;5;5;Manuelle;Compacte;1332CM³;Essence;Traction;8CV
Renault;Clio;1.0LSCeLifePlus;60900DT;5;5;Manuelle;Citadine;999CM³;Essence;Traction;5CV
Porsche;911;Carrera;845000DT;4;2;Automatique;Coupé;2981CM³;Essence;Propulsion;26CV
Porsche;TaycanCrossTurismo;4;540000DT;5;5;AutomatiquePropulsion;Berline;2981CM³;Electrique;Intégrale;16CV
